# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
2.94377e-06     	DILUPBiCGStab	1.00000000e+00	4.77663510e-07	5	1.00000000e+00	8.47324920e-07	5	false	DILUPBiCGStab	1.00000000e+00	4.08240720e-07	4	true	DILUPBiCGStab	1.00000000e+00	9.15155940e-07	3	true	DILUPBiCGStab	2.69890270e-03	7.05298800e-07	1	true	GAMG	1.00000000e+00	8.84078260e-03	3	true
6.2258e-06      	DILUPBiCGStab	1.38733110e-02	3.95442720e-08	3	2.62420870e-01	2.74690090e-07	3	false	DILUPBiCGStab	1.52517210e-02	1.90304080e-07	2	true	DILUPBiCGStab	3.08650290e-02	1.52594030e-07	2	true	DILUPBiCGStab	2.64362670e-03	3.62464250e-07	1	true	GAMG	1.02105950e-01	5.78250680e-04	3	true
9.90269e-06     	DILUPBiCGStab	7.14672370e-03	3.66554750e-07	2	1.98201170e-01	7.19207940e-07	3	false	DILUPBiCGStab	1.29307710e-02	1.89115390e-07	2	true	DILUPBiCGStab	1.79571430e-02	9.33867840e-07	2	true	DILUPBiCGStab	2.71567130e-03	6.96166620e-07	1	true	GAMG	9.66879530e-02	8.22337860e-04	3	true
1.33775e-05     	DILUPBiCGStab	5.95882620e-03	5.75460410e-07	2	1.37028520e-01	2.12581960e-07	3	false	DILUPBiCGStab	1.11702690e-02	4.91427590e-07	2	true	DILUPBiCGStab	1.19100150e-02	3.90746000e-07	2	true	DILUPBiCGStab	2.47186000e-03	5.92858690e-07	1	true	GAMG	7.21522380e-02	4.44823650e-04	3	true
1.69251e-05     	DILUPBiCGStab	5.91307110e-03	7.75237220e-07	2	1.10167960e-01	2.67676980e-07	3	false	DILUPBiCGStab	1.16249280e-02	4.89159510e-07	2	true	DILUPBiCGStab	9.09665160e-03	9.20824670e-07	2	true	DILUPBiCGStab	2.40423930e-03	5.37243960e-07	1	true	GAMG	6.01827830e-02	3.08174790e-04	3	true
2.0315e-05      	DILUPBiCGStab	5.97408240e-03	5.01892030e-07	2	7.89806400e-02	1.38374250e-07	3	false	DILUPBiCGStab	1.10068130e-02	3.88607540e-07	2	true	DILUPBiCGStab	6.62766570e-03	2.08272310e-07	2	true	DILUPBiCGStab	2.20290170e-03	3.91695980e-07	1	true	GAMG	4.40565360e-02	1.42326840e-04	3	true
2.36797e-05     	DILUPBiCGStab	6.49290240e-03	4.77312320e-07	2	5.42070820e-02	8.36358530e-08	3	false	DILUPBiCGStab	1.06459130e-02	4.16897270e-07	2	true	DILUPBiCGStab	5.55691340e-03	8.14562780e-07	2	true	DILUPBiCGStab	2.09347840e-03	4.40401940e-07	1	true	GAMG	3.57174360e-02	9.64482260e-05	3	true
2.69952e-05     	DILUPBiCGStab	7.19211210e-03	6.00045630e-07	2	4.03004700e-02	6.32903540e-08	3	false	DILUPBiCGStab	1.01647930e-02	3.32352490e-07	2	true	DILUPBiCGStab	4.65838840e-03	2.03178680e-07	2	true	DILUPBiCGStab	1.97398880e-03	4.07487510e-07	1	true	GAMG	2.94975470e-02	7.29677760e-05	3	true
3.02855e-05     	DILUPBiCGStab	8.23342320e-03	8.41593200e-07	2	3.26601920e-02	5.49831950e-08	3	false	DILUPBiCGStab	9.77435050e-03	2.63689450e-07	2	true	DILUPBiCGStab	3.95419320e-03	2.91421650e-07	2	true	DILUPBiCGStab	1.86777470e-03	4.18323420e-07	1	true	GAMG	2.57603090e-02	6.03108710e-05	3	true
3.34861e-05     	DILUPBiCGStab	9.52185680e-03	1.82598940e-07	2	2.75634530e-02	9.08530050e-08	3	false	DILUPBiCGStab	9.34050730e-03	2.06888240e-07	2	true	DILUPBiCGStab	3.32410340e-03	5.26495290e-07	2	true	DILUPBiCGStab	1.73176060e-03	4.34204380e-07	1	true	GAMG	2.24996660e-02	2.14597520e-04	2	true
3.6587e-05      	DILUPBiCGStab	1.12632650e-02	1.87502750e-07	2	2.42886340e-02	6.99540640e-07	2	false	DILUPBiCGStab	8.91773460e-03	1.67067070e-07	2	true	DILUPBiCGStab	2.84378680e-03	2.25930380e-07	2	true	DILUPBiCGStab	1.60691810e-03	4.82407280e-07	1	true	GAMG	2.00166450e-02	1.80979750e-04	2	true
3.95764e-05     	DILUPBiCGStab	1.36912270e-02	2.02388690e-07	2	2.21313610e-02	4.88201080e-07	2	false	DILUPBiCGStab	8.57886740e-03	1.49154920e-07	2	true	DILUPBiCGStab	2.44659540e-03	2.98296690e-07	2	true	DILUPBiCGStab	1.48600800e-03	4.18219020e-07	1	true	GAMG	1.80556970e-02	1.44921820e-04	2	true
4.24685e-05     	DILUPBiCGStab	1.74159640e-02	2.26805640e-07	2	2.06346880e-02	3.25038570e-07	2	false	DILUPBiCGStab	8.30253960e-03	1.46720400e-07	2	true	DILUPBiCGStab	2.13229560e-03	2.58210620e-07	2	true	DILUPBiCGStab	1.38110630e-03	3.79702080e-07	1	true	GAMG	1.64980330e-02	1.17176030e-04	2	true
4.5311e-05      	DILUPBiCGStab	2.39332270e-02	2.78956410e-07	2	1.96856380e-02	2.52572200e-07	2	false	DILUPBiCGStab	8.16320080e-03	1.48904860e-07	2	true	DILUPBiCGStab	1.91670100e-03	2.68187530e-07	2	true	DILUPBiCGStab	1.30864110e-03	3.54099860e-07	1	true	GAMG	1.55662880e-02	1.06283040e-04	2	true
4.81073e-05     	DILUPBiCGStab	3.71823670e-02	3.95142230e-07	2	1.87203440e-02	2.01936320e-07	2	false	DILUPBiCGStab	8.04128780e-03	1.42807580e-07	2	true	DILUPBiCGStab	1.73301720e-03	2.49496820e-07	2	true	DILUPBiCGStab	1.24113720e-03	3.36059690e-07	1	true	GAMG	1.47265180e-02	9.59798930e-05	2	true
5.08383e-05     	DILUPBiCGStab	2.91882990e-02	2.63871320e-07	2	1.76121650e-02	1.63345370e-07	2	false	DILUPBiCGStab	7.85055490e-03	1.31660400e-07	2	true	DILUPBiCGStab	1.56329980e-03	1.91852110e-07	2	true	DILUPBiCGStab	1.17136980e-03	3.30208140e-07	1	true	GAMG	1.39264440e-02	8.24534170e-05	2	true
5.35273e-05     	DILUPBiCGStab	1.96921650e-02	1.56003500e-07	2	1.66506050e-02	1.48089400e-07	2	false	DILUPBiCGStab	7.76444730e-03	1.16768110e-07	2	true	DILUPBiCGStab	1.42785820e-03	7.36128670e-07	1	true	DILUPBiCGStab	1.11538550e-03	2.67226430e-07	1	true	GAMG	1.33689000e-02	7.22379720e-05	2	true
5.61889e-05     	DILUPBiCGStab	1.51676810e-02	6.95689400e-07	2	1.56520900e-02	9.80700570e-07	2	false	DILUPBiCGStab	7.69886720e-03	1.01964800e-07	2	true	DILUPBiCGStab	1.31214610e-03	7.13054440e-07	1	true	DILUPBiCGStab	1.07062940e-03	2.75510040e-07	1	true	GAMG	1.29643060e-02	7.00677990e-05	2	true
5.88477e-05     	DILUPBiCGStab	1.25195800e-02	5.90992080e-07	2	1.48715830e-02	9.40452560e-07	2	false	DILUPBiCGStab	7.71578910e-03	9.12933800e-07	1	true	DILUPBiCGStab	1.22280320e-03	6.93188720e-07	1	true	DILUPBiCGStab	1.03769810e-03	2.64014290e-07	1	true	GAMG	1.27307260e-02	7.29699900e-05	2	true
