# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
2e-05           	DILUPBiCGStab	9.99999910e-01	9.86901610e-08	2	1.00000000e+00	5.72018230e-08	2	false	DILUPBiCGStab	9.99999700e-01	5.19799480e-08	2	true	DILUPBiCGStab	1.00000000e+00	7.08801640e-07	2	true	DILUPBiCGStab	1.41281640e-04	7.09264160e-07	1	true	GAMG	1.00000000e+00	9.09214720e-04	2	true
4e-05           	DILUPBiCGStab	1.74135240e-03	2.60860080e-08	2	1.06093020e-01	3.95450680e-07	2	false	DILUPBiCGStab	3.92407400e-03	3.75715520e-08	2	true	DILUPBiCGStab	2.13839220e-02	2.72819780e-08	2	true	DILUPBiCGStab	9.80573230e-05	5.14238240e-07	1	true	GAMG	2.99955810e-03	1.51110320e-06	2	true
6e-05           	DILUPBiCGStab	9.43423370e-04	6.65393970e-07	1	6.19837770e-02	2.43837440e-07	2	false	DILUPBiCGStab	2.01139330e-03	3.38080610e-08	2	true	DILUPBiCGStab	1.22000990e-02	1.78660490e-08	2	true	DILUPBiCGStab	1.05141060e-04	7.23458360e-07	1	true	GAMG	2.15229940e-03	7.05403990e-07	2	true
8e-05           	DILUPBiCGStab	6.55071230e-04	5.54395050e-07	1	4.10602140e-02	1.35415730e-07	2	false	DILUPBiCGStab	1.55479030e-03	8.87258620e-07	1	true	DILUPBiCGStab	9.04843000e-03	7.74476880e-07	1	true	DILUPBiCGStab	1.13379100e-04	9.08498900e-07	1	true	GAMG	1.64980390e-03	9.24607070e-07	2	true
0.0001          	DILUPBiCGStab	5.71930020e-04	5.05247260e-07	1	2.96471000e-02	1.20319640e-07	2	false	DILUPBiCGStab	1.37563670e-03	7.12383700e-07	1	true	DILUPBiCGStab	7.41388940e-03	6.16751850e-07	1	true	DILUPBiCGStab	1.07624230e-04	7.82645530e-07	1	true	GAMG	1.28733060e-03	8.34699760e-07	2	true
0.00012         	DILUPBiCGStab	5.64253440e-04	5.04745440e-07	1	2.45558810e-02	1.27638990e-07	2	false	DILUPBiCGStab	1.19718130e-03	5.75886540e-07	1	true	DILUPBiCGStab	6.41833820e-03	5.13862960e-07	1	true	DILUPBiCGStab	1.06640140e-04	7.28024120e-07	1	true	GAMG	1.10953730e-03	6.63098810e-07	2	true
0.00014         	DILUPBiCGStab	5.56500730e-04	4.86266290e-07	1	2.13170650e-02	1.26071160e-07	2	false	DILUPBiCGStab	1.09026720e-03	4.93879180e-07	1	true	DILUPBiCGStab	5.73352470e-03	4.35919610e-07	1	true	DILUPBiCGStab	1.08683640e-04	7.25044450e-07	1	true	GAMG	1.02202950e-03	4.78892670e-07	2	true
0.00016         	DILUPBiCGStab	5.52651340e-04	4.51895920e-07	1	1.86054240e-02	1.20540680e-07	2	false	DILUPBiCGStab	1.01862210e-03	4.32877500e-07	1	true	DILUPBiCGStab	5.22759220e-03	3.78181430e-07	1	true	DILUPBiCGStab	1.09929830e-04	7.24983480e-07	1	true	GAMG	9.41953170e-04	3.89311390e-07	2	true
0.00018         	DILUPBiCGStab	5.53387080e-04	4.17493870e-07	1	1.63548200e-02	1.11089720e-07	2	false	DILUPBiCGStab	9.66543060e-04	3.88524680e-07	1	true	DILUPBiCGStab	4.84199530e-03	3.32827350e-07	1	true	DILUPBiCGStab	1.10735180e-04	7.39559470e-07	1	true	GAMG	8.83249360e-04	7.95510540e-06	1	true
0.0002          	DILUPBiCGStab	5.51620050e-04	3.84146010e-07	1	1.47540610e-02	1.00532930e-07	2	false	DILUPBiCGStab	9.26090390e-04	3.49179900e-07	1	true	DILUPBiCGStab	4.53792740e-03	2.95168290e-07	1	true	DILUPBiCGStab	1.10676200e-04	7.22124130e-07	1	true	GAMG	8.36626960e-04	6.22337120e-06	1	true
