# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.0300036       	DILUPBiCGStab	1.85197600e-04	7.28024410e-07	1	1.53837020e-03	9.51498520e-07	2	false	DILUPBiCGStab	1.66847840e-02	3.24611710e-07	4	true	DILUPBiCGStab	8.38441750e-06	3.12617010e-07	1	true	DILUPBiCGStab	2.32449410e-06	3.79238390e-08	1	true	GAMG	9.63734500e-03	2.34003700e-05	1	true
0.0300072       	DILUPBiCGStab	1.83326090e-04	7.07736090e-07	1	1.50078500e-03	9.23430540e-07	2	false	DILUPBiCGStab	1.76397310e-02	3.20922650e-07	4	true	DILUPBiCGStab	8.39751670e-06	3.11889100e-07	1	true	DILUPBiCGStab	2.46511490e-06	4.26577210e-08	1	true	GAMG	9.93791560e-03	2.44609350e-05	1	true
0.0300108       	DILUPBiCGStab	1.81656970e-04	7.28922930e-07	1	1.47840490e-03	8.92484120e-07	2	false	DILUPBiCGStab	1.77942660e-02	3.45714820e-07	4	true	DILUPBiCGStab	8.39104920e-06	3.08294370e-07	1	true	DILUPBiCGStab	2.39848100e-06	3.74164370e-08	1	true	GAMG	1.02027260e-02	2.48572200e-05	1	true
0.0300144       	DILUPBiCGStab	1.81248590e-04	7.81590300e-07	1	1.46488430e-03	8.53798450e-07	2	false	DILUPBiCGStab	1.76198350e-02	3.56754490e-07	4	true	DILUPBiCGStab	8.38980890e-06	3.05249700e-07	1	true	DILUPBiCGStab	2.41747140e-06	3.72086740e-08	1	true	GAMG	1.03318380e-02	2.45907220e-05	1	true
0.030018        	DILUPBiCGStab	1.81250750e-04	8.61045630e-07	1	1.46686400e-03	8.21346020e-07	2	false	DILUPBiCGStab	1.75532740e-02	3.64290920e-07	4	true	DILUPBiCGStab	8.38242370e-06	3.02103490e-07	1	true	DILUPBiCGStab	2.33599560e-06	3.77360460e-08	1	true	GAMG	1.04874140e-02	2.44626850e-05	1	true
0.0300216       	DILUPBiCGStab	1.81865340e-04	9.55067120e-07	1	1.47357480e-03	7.90737090e-07	2	false	DILUPBiCGStab	1.72854950e-02	3.75380910e-07	4	true	DILUPBiCGStab	8.38038270e-06	2.99153050e-07	1	true	DILUPBiCGStab	2.34276600e-06	3.70844310e-08	1	true	GAMG	1.06632600e-02	2.48634200e-05	1	true
0.0300252       	DILUPBiCGStab	1.81929800e-04	2.27394760e-07	1	1.49713300e-03	7.66456850e-07	2	false	DILUPBiCGStab	1.69971080e-02	3.95859370e-07	4	true	DILUPBiCGStab	8.40700970e-06	2.96917360e-07	1	true	DILUPBiCGStab	2.48754960e-06	4.17576160e-08	1	true	GAMG	1.08028000e-02	2.61383750e-05	1	true
0.0300288       	DILUPBiCGStab	1.80870460e-04	2.54563520e-07	1	1.52655650e-03	7.38618180e-07	2	false	DILUPBiCGStab	1.67350890e-02	3.79206320e-07	4	true	DILUPBiCGStab	8.37391890e-06	2.93071840e-07	1	true	DILUPBiCGStab	2.42808030e-06	3.67568220e-08	1	true	GAMG	1.08448890e-02	2.66837290e-05	1	true
0.0300324       	DILUPBiCGStab	1.81650000e-04	2.86684950e-07	1	1.54699410e-03	6.99316950e-07	2	false	DILUPBiCGStab	1.62928340e-02	4.06710200e-07	4	true	DILUPBiCGStab	8.37718410e-06	2.89924690e-07	1	true	DILUPBiCGStab	2.44516950e-06	3.63166200e-08	1	true	GAMG	1.09407350e-02	2.71299920e-05	1	true
0.030036        	DILUPBiCGStab	1.82263740e-04	3.18837040e-07	1	1.56721490e-03	6.64632460e-07	2	false	DILUPBiCGStab	1.60798660e-02	4.34448630e-07	4	true	DILUPBiCGStab	8.35598600e-06	2.86577540e-07	1	true	DILUPBiCGStab	2.36515580e-06	3.70601170e-08	1	true	GAMG	1.09849510e-02	2.70863690e-05	1	true
