# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.0060014       	DILUPBiCGStab	6.51446790e-05	7.28497980e-07	1	3.87914230e-04	5.28502410e-07	2	false	DILUPBiCGStab	1.36698410e-03	5.26313560e-07	3	true	DILUPBiCGStab	3.24393610e-05	9.97493480e-08	1	true	DILUPBiCGStab	1.50433550e-06	1.81260810e-08	1	true	GAMG	1.31905260e-03	9.73859950e-06	13	true
0.00600298      	DILUPBiCGStab	7.18633840e-05	1.90915850e-07	2	4.23238400e-04	7.40198270e-07	2	false	DILUPBiCGStab	1.62200450e-03	3.67126640e-07	3	true	DILUPBiCGStab	3.58733010e-05	1.31860440e-07	1	true	DILUPBiCGStab	2.11816440e-06	2.43524960e-08	1	true	GAMG	1.44257380e-03	1.37042460e-05	12	true
0.00600476      	DILUPBiCGStab	7.95790480e-05	2.81984200e-07	2	4.78189830e-04	2.65014600e-07	2	false	DILUPBiCGStab	1.66762670e-03	4.31963260e-07	3	true	DILUPBiCGStab	4.05143630e-05	1.72076980e-07	1	true	DILUPBiCGStab	2.66817840e-06	3.40126770e-08	1	true	GAMG	1.63051060e-03	1.39566920e-05	17	true
0.00600673      	DILUPBiCGStab	8.97285490e-05	4.00147220e-07	2	5.28125650e-04	4.04188120e-07	2	false	DILUPBiCGStab	1.87243160e-03	4.02866490e-07	4	true	DILUPBiCGStab	4.46581440e-05	2.28865990e-07	1	true	DILUPBiCGStab	3.83247370e-06	4.72050670e-08	1	true	GAMG	1.91019110e-03	1.78864520e-05	17	true
0.00600866      	DILUPBiCGStab	9.12539620e-05	4.08365080e-07	2	5.37095410e-04	3.60839060e-07	2	false	DILUPBiCGStab	1.87943760e-03	5.17100960e-07	3	true	DILUPBiCGStab	4.43721030e-05	2.37251970e-07	1	true	DILUPBiCGStab	4.52022180e-06	5.77584100e-08	1	true	GAMG	1.95993260e-03	1.94819830e-05	17	true
0.00601054      	DILUPBiCGStab	9.22121470e-05	3.89713990e-07	2	5.31562960e-04	4.26606720e-07	2	false	DILUPBiCGStab	1.93513670e-03	2.66872800e-07	4	true	DILUPBiCGStab	4.37124850e-05	2.37335380e-07	1	true	DILUPBiCGStab	4.72858000e-06	5.29805100e-08	1	true	GAMG	2.09582450e-03	1.80006680e-05	16	true
0.00601231      	DILUPBiCGStab	8.99213770e-05	3.15452150e-07	2	5.17191080e-04	3.15595130e-07	2	false	DILUPBiCGStab	1.84487340e-03	8.49702650e-07	3	true	DILUPBiCGStab	4.14058020e-05	1.99752040e-07	1	true	DILUPBiCGStab	4.34077720e-06	4.56169400e-08	1	true	GAMG	2.01025710e-03	1.77747520e-05	16	true
0.00601396      	DILUPBiCGStab	8.57124980e-05	2.69347810e-07	2	4.88518810e-04	3.15460250e-07	2	false	DILUPBiCGStab	1.80242800e-03	6.12876700e-07	3	true	DILUPBiCGStab	3.90370560e-05	1.70627670e-07	1	true	DILUPBiCGStab	3.76393820e-06	4.29798890e-08	1	true	GAMG	1.91310060e-03	1.79317470e-05	12	true
0.00601556      	DILUPBiCGStab	8.31643210e-05	2.36253020e-07	2	4.77421020e-04	2.27097590e-07	2	false	DILUPBiCGStab	1.74971420e-03	6.85389090e-07	3	true	DILUPBiCGStab	3.79310100e-05	1.53278420e-07	1	true	DILUPBiCGStab	3.33205520e-06	3.75290120e-08	1	true	GAMG	1.83374690e-03	1.74206960e-05	13	true
0.00601723      	DILUPBiCGStab	8.70979940e-05	2.81726470e-07	2	5.00779740e-04	3.01036170e-07	2	false	DILUPBiCGStab	1.84635330e-03	6.26286900e-07	3	true	DILUPBiCGStab	3.97712470e-05	1.79076740e-07	1	true	DILUPBiCGStab	3.51590140e-06	4.09891010e-08	1	true	GAMG	1.98189880e-03	1.87502180e-05	13	true
