# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1.00618e-07     	DILUPBiCGStab	9.99999850e-01	3.29333740e-07	2	1.00000000e+00	3.95330990e-07	2	false	DILUPBiCGStab	9.99999960e-01	2.06834240e-07	2	true	DILUPBiCGStab	1.00000000e+00	3.50191850e-08	2	true	DILUPBiCGStab	2.27509230e-03	8.84219070e-09	1	true	GAMG	1.00000000e+00	1.12518420e-03	2	true
2.13205e-07     	DILUPBiCGStab	3.65133290e-03	3.45389730e-08	1	5.94879740e-01	2.39321180e-08	2	false	DILUPBiCGStab	3.97335860e-03	7.08967250e-08	1	true	DILUPBiCGStab	2.22610820e-04	1.14231430e-07	1	true	DILUPBiCGStab	2.27610770e-04	9.71306450e-08	1	true	GAMG	3.92282580e-01	3.60502370e-03	2	true
2.83009e-07     	DILUPBiCGStab	3.07986230e-04	2.28834410e-07	1	2.51871770e-02	2.01771630e-08	1	false	DILUPBiCGStab	4.35563910e-04	3.22797980e-07	1	true	DILUPBiCGStab	1.04017640e-04	2.61473100e-08	1	true	DILUPBiCGStab	5.10511530e-05	1.74369270e-08	1	true	GAMG	3.36024340e-03	4.05860710e-06	3	true
3.65247e-07     	DILUPBiCGStab	2.21967350e-04	1.17407530e-07	1	2.90045020e-02	1.34588350e-08	1	false	DILUPBiCGStab	4.32206350e-04	2.93132710e-07	1	true	DILUPBiCGStab	1.27002740e-04	4.64969850e-08	1	true	DILUPBiCGStab	3.93684240e-05	1.00159820e-08	1	true	GAMG	4.92833710e-03	5.96006360e-06	3	true
4.63933e-07     	DILUPBiCGStab	2.38152740e-04	1.70142870e-07	1	4.45644310e-02	4.50857630e-08	1	false	DILUPBiCGStab	4.71790130e-04	4.95121530e-07	1	true	DILUPBiCGStab	2.92904500e-04	2.68007010e-07	1	true	DILUPBiCGStab	3.17004470e-05	7.73733910e-09	1	true	GAMG	1.11510810e-02	1.01158260e-04	2	true
5.82356e-07     	DILUPBiCGStab	2.51161540e-04	5.32782330e-07	1	5.63446290e-02	3.76354460e-07	1	false	DILUPBiCGStab	5.27756540e-04	1.38893840e-08	1	true	DILUPBiCGStab	8.29952130e-04	6.44142320e-09	1	true	DILUPBiCGStab	2.59517070e-05	8.28091160e-09	1	true	GAMG	8.63280330e-02	8.19209960e-04	2	true
7.24464e-07     	DILUPBiCGStab	2.61776610e-04	2.14548810e-08	1	6.41064190e-02	1.96638500e-08	2	false	DILUPBiCGStab	6.09233050e-04	9.43702520e-08	1	true	DILUPBiCGStab	1.47120210e-03	4.20925720e-08	1	true	DILUPBiCGStab	2.15338240e-05	9.71559340e-09	1	true	GAMG	2.27177570e-02	2.13452010e-04	2	true
8.94993e-07     	DILUPBiCGStab	2.77296960e-04	8.23900030e-08	1	6.98954220e-02	1.38365760e-07	2	false	DILUPBiCGStab	6.95645560e-04	3.85583280e-07	1	true	DILUPBiCGStab	1.73325170e-03	1.38800800e-07	1	true	DILUPBiCGStab	1.84851930e-05	1.15055740e-08	1	true	GAMG	1.38143670e-02	1.09751700e-04	2	true
1.09963e-06     	DILUPBiCGStab	3.00382040e-04	2.21539410e-07	1	7.39988280e-02	7.12491750e-07	2	false	DILUPBiCGStab	8.23519620e-04	3.68933900e-08	2	true	DILUPBiCGStab	1.70367700e-03	3.71362700e-07	1	true	DILUPBiCGStab	1.57915510e-05	1.34326780e-08	1	true	GAMG	1.08733080e-02	7.01295270e-05	2	true
1.34519e-06     	DILUPBiCGStab	3.29587490e-04	5.69416310e-07	1	7.74546140e-02	3.22072930e-07	2	false	DILUPBiCGStab	9.73008620e-04	2.66230300e-07	2	true	DILUPBiCGStab	1.58174300e-03	9.20793670e-07	1	true	DILUPBiCGStab	1.33424370e-05	1.57452030e-08	1	true	GAMG	9.82873270e-03	6.33827000e-05	2	true
1.63987e-06     	DILUPBiCGStab	3.65881550e-04	3.65921300e-07	2	8.08459230e-02	1.48225030e-07	3	false	DILUPBiCGStab	1.17833410e-03	2.82455050e-07	2	true	DILUPBiCGStab	1.46850030e-03	7.08832980e-07	2	true	DILUPBiCGStab	1.17769550e-05	1.90348170e-08	1	true	GAMG	1.05280300e-02	7.18397820e-05	2	true
1.99348e-06     	DILUPBiCGStab	4.10278160e-04	4.04430090e-07	2	8.41519360e-02	4.85242800e-07	3	false	DILUPBiCGStab	1.41272010e-03	4.07389710e-07	3	true	DILUPBiCGStab	1.36925270e-03	4.95777460e-07	2	true	DILUPBiCGStab	1.04231790e-05	2.30563130e-08	1	true	GAMG	1.28732460e-02	8.53427430e-05	2	true
2.41781e-06     	DILUPBiCGStab	4.70885990e-04	8.07516300e-07	2	8.67853640e-02	5.29616070e-07	4	false	DILUPBiCGStab	1.66860720e-03	5.01195590e-07	3	true	DILUPBiCGStab	1.28417190e-03	8.06049540e-07	2	true	DILUPBiCGStab	9.26770990e-06	2.79650070e-08	1	true	GAMG	1.70448320e-02	9.45131640e-05	2	true
2.92701e-06     	DILUPBiCGStab	5.48748300e-04	4.74682520e-07	2	8.78604750e-02	7.15359420e-07	4	false	DILUPBiCGStab	1.97700490e-03	8.78907020e-07	3	true	DILUPBiCGStab	1.21338610e-03	4.63770410e-07	2	true	DILUPBiCGStab	8.47049650e-06	3.36362740e-08	1	true	GAMG	2.17983590e-02	1.08982880e-04	2	true
3.53804e-06     	DILUPBiCGStab	6.42259930e-04	4.57322810e-07	2	8.89791640e-02	8.84638870e-07	4	false	DILUPBiCGStab	2.37738370e-03	4.20601490e-07	3	true	DILUPBiCGStab	1.15191320e-03	7.79293230e-07	2	true	DILUPBiCGStab	7.76546440e-06	4.03423820e-08	1	true	GAMG	2.55308550e-02	1.11268180e-04	2	true
4.27129e-06     	DILUPBiCGStab	7.57275930e-04	4.93083160e-07	2	9.18525380e-02	5.17231980e-07	4	false	DILUPBiCGStab	2.89672880e-03	5.14750250e-07	3	true	DILUPBiCGStab	1.09566740e-03	8.66592290e-07	2	true	DILUPBiCGStab	7.24435640e-06	5.05818540e-08	1	true	GAMG	2.90629970e-02	1.23088940e-04	2	true
5.1512e-06      	DILUPBiCGStab	9.01251850e-04	6.32510560e-07	2	9.35096490e-02	6.41402570e-07	4	false	DILUPBiCGStab	3.55416610e-03	5.92206920e-07	3	true	DILUPBiCGStab	1.03597530e-03	1.80411980e-07	2	true	DILUPBiCGStab	6.77117730e-06	6.23017010e-08	1	true	GAMG	3.56602040e-02	1.68166300e-04	2	true
6.20706e-06     	DILUPBiCGStab	1.08250450e-03	8.52784560e-07	2	9.09243370e-02	9.74362000e-07	4	false	DILUPBiCGStab	4.31169950e-03	7.70820940e-07	3	true	DILUPBiCGStab	9.83589750e-04	1.82411070e-07	2	true	DILUPBiCGStab	6.37312850e-06	7.64097320e-08	1	true	GAMG	5.17463740e-02	2.69996290e-04	2	true
7.47403e-06     	DILUPBiCGStab	1.30699340e-03	5.45812890e-07	3	8.85922840e-02	4.15159330e-07	5	false	DILUPBiCGStab	5.19820060e-03	4.66170430e-07	4	true	DILUPBiCGStab	9.52791160e-04	3.07301230e-07	2	true	DILUPBiCGStab	6.21102280e-06	9.63163340e-08	1	true	GAMG	1.05418240e-01	6.62411340e-04	2	true
8.97373e-06     	DILUPBiCGStab	1.57590820e-03	6.53899790e-07	3	8.54301950e-02	6.58758450e-07	5	false	DILUPBiCGStab	6.15182060e-03	7.03165490e-07	4	true	DILUPBiCGStab	9.45968280e-04	4.48904870e-07	2	true	DILUPBiCGStab	6.13927940e-06	1.18980380e-07	1	true	GAMG	6.26317390e-02	5.05195530e-04	2	true
1.06963e-05     	DILUPBiCGStab	1.87382830e-03	5.50504180e-07	3	8.06805620e-02	7.07171330e-07	5	false	DILUPBiCGStab	6.95380390e-03	9.35033740e-07	4	true	DILUPBiCGStab	9.78281550e-04	6.99685760e-07	2	true	DILUPBiCGStab	5.99686200e-06	1.39503950e-07	1	true	GAMG	4.18671810e-02	4.03682120e-04	2	true
1.2633e-05      	DILUPBiCGStab	2.19192470e-03	5.46395070e-07	3	7.47624870e-02	7.73224090e-07	5	false	DILUPBiCGStab	7.65235950e-03	7.12137790e-07	5	true	DILUPBiCGStab	1.03954850e-03	3.47272660e-07	3	true	DILUPBiCGStab	5.83515720e-06	1.62543240e-07	1	true	GAMG	3.22369970e-02	1.42454780e-04	3	true
1.4675e-05      	DILUPBiCGStab	2.41627310e-03	7.91039250e-07	3	6.55397870e-02	7.08657850e-07	5	false	DILUPBiCGStab	7.85227810e-03	8.86127400e-07	5	true	DILUPBiCGStab	1.06873440e-03	4.54175230e-07	3	true	DILUPBiCGStab	5.34439950e-06	1.68171930e-07	1	true	GAMG	2.54504060e-02	1.13710010e-04	3	true
1.6641e-05      	DILUPBiCGStab	2.43326520e-03	6.77796120e-07	3	5.32370980e-02	4.51049640e-07	5	false	DILUPBiCGStab	7.32653240e-03	6.82031560e-07	5	true	DILUPBiCGStab	1.02229580e-03	4.16881270e-07	3	true	DILUPBiCGStab	4.46488830e-06	1.46022480e-07	1	true	GAMG	1.93535030e-02	1.93422110e-04	2	true
1.85379e-05     	DILUPBiCGStab	2.44086660e-03	5.87507490e-07	3	4.47492640e-02	8.66636690e-07	4	false	DILUPBiCGStab	6.80665310e-03	5.14264230e-07	5	true	DILUPBiCGStab	9.85636810e-04	3.76108770e-07	3	true	DILUPBiCGStab	3.81313430e-06	1.30587160e-07	1	true	GAMG	1.54834410e-02	1.43837980e-04	2	true
2.03774e-05     	DILUPBiCGStab	2.45082500e-03	5.11342920e-07	3	3.93280620e-02	5.64939410e-07	4	false	DILUPBiCGStab	6.32635080e-03	9.03264750e-07	4	true	DILUPBiCGStab	9.55492150e-04	3.44299430e-07	3	true	DILUPBiCGStab	3.35671850e-06	1.20428290e-07	1	true	GAMG	1.28838740e-02	1.12633800e-04	2	true
2.21762e-05     	DILUPBiCGStab	2.46687470e-03	4.41283930e-07	3	3.55388630e-02	6.80737990e-07	4	false	DILUPBiCGStab	5.90961970e-03	7.95038260e-07	4	true	DILUPBiCGStab	9.31918430e-04	9.82456870e-07	2	true	DILUPBiCGStab	3.03033920e-06	1.13513870e-07	1	true	GAMG	1.10759720e-02	9.35449580e-05	2	true
2.39224e-05     	DILUPBiCGStab	2.47125950e-03	3.65972610e-07	3	3.21689170e-02	5.45682350e-07	4	false	DILUPBiCGStab	5.49572730e-03	6.71580810e-07	4	true	DILUPBiCGStab	8.99509220e-04	8.56841730e-07	2	true	DILUPBiCGStab	2.77348230e-06	1.05939410e-07	1	true	GAMG	9.63349160e-03	7.87206370e-05	2	true
2.56356e-05     	DILUPBiCGStab	2.49756160e-03	3.72995560e-07	3	2.94092090e-02	6.50336750e-07	4	false	DILUPBiCGStab	5.21458400e-03	6.04761370e-07	4	true	DILUPBiCGStab	8.75438110e-04	8.03989350e-07	2	true	DILUPBiCGStab	2.61654460e-06	1.01491960e-07	1	true	GAMG	8.66368180e-03	7.14451250e-05	2	true
2.73154e-05     	DILUPBiCGStab	2.50199750e-03	3.15801910e-07	3	2.66478130e-02	6.58720120e-07	4	false	DILUPBiCGStab	4.96729920e-03	5.51336380e-07	4	true	DILUPBiCGStab	8.49225010e-04	7.66360230e-07	2	true	DILUPBiCGStab	2.47900080e-06	9.75675290e-08	1	true	GAMG	7.89362930e-03	6.54469200e-05	2	true
2.89589e-05     	DILUPBiCGStab	2.51494160e-03	3.17448070e-07	3	2.40483820e-02	6.15885420e-07	4	false	DILUPBiCGStab	4.76335700e-03	5.01318940e-07	4	true	DILUPBiCGStab	8.19833440e-04	7.29824840e-07	2	true	DILUPBiCGStab	2.32823980e-06	9.33595060e-08	1	true	GAMG	7.26946880e-03	6.01595780e-05	2	true
3.05658e-05     	DILUPBiCGStab	2.50597080e-03	2.71294100e-07	3	2.17707990e-02	5.52873340e-07	4	false	DILUPBiCGStab	4.57020710e-03	9.19908430e-07	4	true	DILUPBiCGStab	7.89627870e-04	6.96052790e-07	2	true	DILUPBiCGStab	2.20207290e-06	8.92568180e-08	1	true	GAMG	6.74412790e-03	5.43105570e-05	2	true
3.21435e-05     	DILUPBiCGStab	2.51734530e-03	2.54264700e-07	3	1.97810420e-02	5.08784520e-07	4	false	DILUPBiCGStab	4.43217630e-03	8.31266680e-07	4	true	DILUPBiCGStab	7.63009650e-04	6.74298210e-07	2	true	DILUPBiCGStab	2.08704440e-06	8.62329130e-08	1	true	GAMG	6.34618000e-03	4.81110540e-05	2	true
3.36887e-05     	DILUPBiCGStab	2.51150550e-03	9.03118040e-07	3	1.80895250e-02	4.70135510e-07	4	false	DILUPBiCGStab	4.28551650e-03	7.68620700e-07	4	true	DILUPBiCGStab	7.34872190e-04	6.41727360e-07	2	true	DILUPBiCGStab	1.99812220e-06	8.27422920e-08	1	true	GAMG	5.96799710e-03	4.48635300e-05	2	true
3.52158e-05     	DILUPBiCGStab	2.52745390e-03	8.30683520e-07	3	1.66964270e-02	4.70114160e-07	4	false	DILUPBiCGStab	4.19820370e-03	7.24267410e-07	4	true	DILUPBiCGStab	7.13855630e-04	6.32981560e-07	2	true	DILUPBiCGStab	1.92204760e-06	8.08758490e-08	1	true	GAMG	5.71598870e-03	4.22368900e-05	2	true
3.67231e-05     	DILUPBiCGStab	2.53844830e-03	7.54096120e-07	3	1.54250450e-02	5.01753270e-07	4	false	DILUPBiCGStab	4.12294520e-03	6.90368200e-07	4	true	DILUPBiCGStab	6.92552340e-04	6.21524670e-07	2	true	DILUPBiCGStab	1.84821150e-06	7.88106100e-08	1	true	GAMG	5.48266010e-03	3.86493560e-05	2	true
3.82227e-05     	DILUPBiCGStab	2.55686770e-03	7.06403640e-07	3	1.44474100e-02	5.68685960e-07	4	false	DILUPBiCGStab	4.07668300e-03	6.84504850e-07	4	true	DILUPBiCGStab	6.77188590e-04	6.25160520e-07	2	true	DILUPBiCGStab	1.78333560e-06	7.83283620e-08	1	true	GAMG	5.30569550e-03	3.63651460e-05	2	true
3.97065e-05     	DILUPBiCGStab	2.57165100e-03	6.73917540e-07	3	1.34449840e-02	5.99279050e-07	4	false	DILUPBiCGStab	4.02015080e-03	6.76536890e-07	4	true	DILUPBiCGStab	6.58274180e-04	6.16447430e-07	2	true	DILUPBiCGStab	1.70174240e-06	7.66906880e-08	1	true	GAMG	5.13962620e-03	3.54248890e-05	2	true
4.11792e-05     	DILUPBiCGStab	2.58716620e-03	6.72386570e-07	3	1.25422950e-02	6.57620590e-07	4	false	DILUPBiCGStab	3.98865360e-03	6.83620280e-07	4	true	DILUPBiCGStab	6.41909810e-04	6.16004070e-07	2	true	DILUPBiCGStab	1.62992380e-06	7.57300300e-08	1	true	GAMG	5.00028780e-03	3.51397740e-05	2	true
4.26431e-05     	DILUPBiCGStab	2.59561430e-03	6.88898570e-07	3	1.17689660e-02	7.03151820e-07	4	false	DILUPBiCGStab	3.95400030e-03	6.99517960e-07	4	true	DILUPBiCGStab	6.26673250e-04	6.21924000e-07	2	true	DILUPBiCGStab	1.56656330e-06	7.51438370e-08	1	true	GAMG	4.87306370e-03	3.48748230e-05	2	true
4.40948e-05     	DILUPBiCGStab	2.59255600e-03	6.98656130e-07	3	1.09904090e-02	7.19399650e-07	4	false	DILUPBiCGStab	3.91530120e-03	6.99622390e-07	4	true	DILUPBiCGStab	6.09973280e-04	6.22242530e-07	2	true	DILUPBiCGStab	1.49901640e-06	7.43815050e-08	1	true	GAMG	4.74670560e-03	3.33657370e-05	2	true
4.55383e-05     	DILUPBiCGStab	2.61734390e-03	7.22268130e-07	3	1.03394910e-02	7.27732240e-07	4	false	DILUPBiCGStab	3.89868840e-03	7.05274250e-07	4	true	DILUPBiCGStab	5.95008020e-04	6.27618710e-07	2	true	DILUPBiCGStab	1.44721220e-06	7.40121990e-08	1	true	GAMG	4.65508160e-03	3.11622990e-05	2	true
4.69781e-05     	DILUPBiCGStab	2.62865890e-03	7.53469140e-07	3	9.76521380e-03	7.04276980e-07	4	false	DILUPBiCGStab	3.89595020e-03	7.12127260e-07	4	true	DILUPBiCGStab	5.81896120e-04	6.40261190e-07	2	true	DILUPBiCGStab	1.40005090e-06	7.40097530e-08	1	true	GAMG	4.58509770e-03	2.83682260e-05	2	true
4.84044e-05     	DILUPBiCGStab	2.61572040e-03	7.62374230e-07	3	9.11948730e-03	6.52550760e-07	4	false	DILUPBiCGStab	3.86497540e-03	6.83598240e-07	4	true	DILUPBiCGStab	5.64992280e-04	6.35269610e-07	2	true	DILUPBiCGStab	1.33828650e-06	7.32112560e-08	1	true	GAMG	4.47882200e-03	2.85454280e-05	2	true
4.98124e-05     	DILUPBiCGStab	2.59187380e-03	7.57391980e-07	3	8.53425320e-03	5.80338800e-07	4	false	DILUPBiCGStab	3.81455970e-03	6.42102440e-07	4	true	DILUPBiCGStab	5.46261150e-04	6.19215020e-07	2	true	DILUPBiCGStab	1.29217120e-06	7.19244350e-08	1	true	GAMG	4.36877000e-03	2.93645460e-05	2	true
5.12107e-05     	DILUPBiCGStab	2.60087810e-03	7.71850010e-07	3	8.05780880e-03	5.34330760e-07	4	false	DILUPBiCGStab	3.80660130e-03	6.20310740e-07	4	true	DILUPBiCGStab	5.31173050e-04	6.17548590e-07	2	true	DILUPBiCGStab	1.25142940e-06	7.14190870e-08	1	true	GAMG	4.30613580e-03	2.97658010e-05	2	true
5.26037e-05     	DILUPBiCGStab	2.60375680e-03	7.79498230e-07	3	7.60724130e-03	4.94008230e-07	4	false	DILUPBiCGStab	3.80929090e-03	6.11617100e-07	4	true	DILUPBiCGStab	5.17912380e-04	6.22184590e-07	2	true	DILUPBiCGStab	1.22504980e-06	7.13582770e-08	1	true	GAMG	4.25637960e-03	2.92078890e-05	2	true
5.4001e-05      	DILUPBiCGStab	2.61613830e-03	7.82437040e-07	3	7.26878000e-03	4.79518480e-07	4	false	DILUPBiCGStab	3.83355510e-03	6.41209930e-07	4	true	DILUPBiCGStab	5.08177260e-04	6.41893210e-07	2	true	DILUPBiCGStab	1.21959880e-06	7.25148180e-08	1	true	GAMG	4.23437190e-03	2.82506550e-05	2	true
5.53855e-05     	DILUPBiCGStab	2.60383950e-03	7.27219960e-07	3	6.88750130e-03	4.38620410e-07	4	false	DILUPBiCGStab	3.81804580e-03	6.84563620e-07	4	true	DILUPBiCGStab	4.92355890e-04	6.30664650e-07	2	true	DILUPBiCGStab	1.19258080e-06	7.19664510e-08	1	true	GAMG	4.17169120e-03	2.54986610e-05	2	true
5.67669e-05     	DILUPBiCGStab	2.60484990e-03	6.87262310e-07	3	6.55942780e-03	4.28920880e-07	4	false	DILUPBiCGStab	3.83285470e-03	7.23093360e-07	4	true	DILUPBiCGStab	4.80269970e-04	6.35969600e-07	2	true	DILUPBiCGStab	1.17566410e-06	7.22953120e-08	1	true	GAMG	4.14382330e-03	2.40528480e-05	2	true
5.8138e-05      	DILUPBiCGStab	2.59779800e-03	6.48470660e-07	3	6.19713050e-03	4.09184560e-07	4	false	DILUPBiCGStab	3.82838310e-03	7.13982470e-07	4	true	DILUPBiCGStab	4.65968100e-04	6.27844610e-07	2	true	DILUPBiCGStab	1.15666180e-06	7.20059940e-08	1	true	GAMG	4.09049380e-03	2.18618160e-05	2	true
5.9513e-05      	DILUPBiCGStab	2.61045070e-03	6.47354440e-07	3	5.96413660e-03	4.09405380e-07	4	false	DILUPBiCGStab	3.85716170e-03	7.44622720e-07	4	true	DILUPBiCGStab	4.56801900e-04	6.44057720e-07	2	true	DILUPBiCGStab	1.16943290e-06	7.29173880e-08	1	true	GAMG	4.08074200e-03	2.06469920e-05	2	true
