# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.14718807e+01
# lRef          : 1.16975207e-02
# Aref          : 1.16975207e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.00200179      	1.93602434e+00	-1.34977135e+01	1.54337379e+01	3.38426250e-01	1.70383484e-01	1.68042766e-01	1.17035945e-03	-1.44657257e+01	8.27536193e+01	2.48895292e-21	8.27536193e+01	-8.27536193e+01
0.00200358      	1.93184378e+00	-1.34366710e+01	1.53685148e+01	3.36949256e-01	1.69659062e-01	1.67290193e-01	1.18443460e-03	-1.44025929e+01	8.25749249e+01	1.95384011e-21	8.25749249e+01	-8.25749249e+01
0.00200538      	1.92695562e+00	-1.35750060e+01	1.55019616e+01	3.40128428e-01	1.71253605e-01	1.68874823e-01	1.18939098e-03	-1.45384838e+01	8.23659850e+01	1.04164433e-20	8.23659850e+01	-8.23659850e+01
0.00200717      	1.93042524e+00	-1.37475530e+01	1.56779783e+01	3.44205760e-01	1.73290673e-01	1.70915087e-01	1.18779269e-03	-1.47127657e+01	8.25142908e+01	-3.57457893e-21	8.25142908e+01	-8.25142908e+01
0.00200896      	1.92745971e+00	-1.37308966e+01	1.56583563e+01	3.43781392e-01	1.73076454e-01	1.70704938e-01	1.18575793e-03	-1.46946264e+01	8.23875319e+01	2.34522167e-21	8.23875319e+01	-8.23875319e+01
0.00201076      	1.92559235e+00	-1.36986259e+01	1.56242183e+01	3.43004576e-01	1.72708265e-01	1.70296311e-01	1.20597708e-03	-1.46614221e+01	8.23077131e+01	-7.74688020e-23	8.23077131e+01	-8.23077131e+01
0.00201255      	1.92059819e+00	-1.36928374e+01	1.56134355e+01	3.42810733e-01	1.72614170e-01	1.70196563e-01	1.20880369e-03	-1.46531365e+01	8.20942422e+01	1.25063626e-20	8.20942422e+01	-8.20942422e+01
0.00201435      	1.92670167e+00	-1.41271431e+01	1.60538448e+01	3.53042729e-01	1.77730307e-01	1.75312421e-01	1.20894279e-03	-1.50904939e+01	8.23551301e+01	-4.05648788e-21	8.23551301e+01	-8.23551301e+01
0.00201614      	1.92128501e+00	-1.38078567e+01	1.57291418e+01	3.45509650e-01	1.73971763e-01	1.71537888e-01	1.21693743e-03	-1.47684993e+01	8.21235998e+01	1.51941600e-21	8.21235998e+01	-8.21235998e+01
0.00201794      	1.91968532e+00	-1.38729397e+01	1.57926251e+01	3.47013557e-01	1.74737346e-01	1.72276211e-01	1.23056784e-03	-1.48327824e+01	8.20552224e+01	-3.86366544e-22	8.20552224e+01	-8.20552224e+01
0.00201973      	1.91861525e+00	-1.39548752e+01	1.58734905e+01	3.48917924e-01	1.75696049e-01	1.73221876e-01	1.23708650e-03	-1.49141829e+01	8.20094832e+01	1.08681183e-20	8.20094832e+01	-8.20094832e+01
0.00202153      	1.92209948e+00	-1.42608846e+01	1.61829841e+01	3.56117784e-01	1.79295303e-01	1.76822480e-01	1.23641170e-03	-1.52219344e+01	8.21584137e+01	-4.22399108e-21	8.21584137e+01	-8.21584137e+01
0.00202333      	1.91980086e+00	-1.40674327e+01	1.59872335e+01	3.51565079e-01	1.77035602e-01	1.74529477e-01	1.25306283e-03	-1.50273331e+01	8.20601613e+01	3.59853703e-22	8.20601613e+01	-8.20601613e+01
0.00202513      	1.91335361e+00	-1.39409923e+01	1.58543459e+01	3.48531584e-01	1.75522905e-01	1.73008680e-01	1.25711253e-03	-1.48976691e+01	8.17845793e+01	-9.16862555e-22	8.17845793e+01	-8.17845793e+01
0.00202692      	1.91719877e+00	-1.41509379e+01	1.60681367e+01	3.53488250e-01	1.78000044e-01	1.75488205e-01	1.25591958e-03	-1.51095373e+01	8.19489370e+01	8.88625696e-21	8.19489370e+01	-8.19489370e+01
