# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.14718807e+01
# lRef          : 1.16975207e-02
# Aref          : 1.16975207e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
1.00614e-07     	6.39022349e+01	2.06966573e+01	4.32055776e+01	2.63298560e-01	1.10754434e-01	1.52544126e-01	-2.08948462e-02	-1.12544602e+01	2.73144356e+03	-3.10414007e-20	2.73144356e+03	-2.73144356e+03
2.13088e-07     	4.55078919e+01	2.86379911e+01	1.68699009e+01	-1.37657478e-01	-8.16784848e-02	-5.59789934e-02	-1.28497457e-02	5.88404510e+00	1.94519391e+03	-2.21405858e-20	1.94519391e+03	-1.94519391e+03
2.75559e-07     	3.11261393e+01	1.50212813e+01	1.61048580e+01	1.26751602e-02	-3.25754330e-03	1.59327035e-02	-9.59512339e-03	-5.41788322e-01	1.33045883e+03	-2.44209884e-20	1.33045883e+03	-1.33045883e+03
3.50524e-07     	2.59448440e+01	1.15863961e+01	1.43584479e+01	3.24261322e-02	9.70785778e-03	2.27182744e-02	-6.50520832e-03	-1.38602586e+00	1.10898902e+03	-2.46958291e-20	1.10898902e+03	-1.10898902e+03
4.40485e-07     	2.44185545e+01	1.17623989e+01	1.26561556e+01	1.04547380e-02	1.27156703e-03	9.18317101e-03	-3.95580199e-03	-4.46878375e-01	1.04374915e+03	-2.35965389e-20	1.04374915e+03	-1.04374915e+03
5.4844e-07      	2.48138411e+01	1.22646109e+01	1.25492302e+01	3.32933958e-03	-2.29275822e-04	3.55861540e-03	-1.89394561e-03	-1.42309626e-01	1.06064532e+03	-2.23566099e-20	1.06064532e+03	-1.06064532e+03
6.77987e-07     	2.53044160e+01	1.26058974e+01	1.26985186e+01	1.08343768e-03	1.61459182e-04	9.21978501e-04	-3.80259660e-04	-4.63105693e-02	1.08161451e+03	-2.12461098e-20	1.08161451e+03	-1.08161451e+03
8.33451e-07     	2.56664311e+01	1.28499247e+01	1.28165064e+01	-3.90911951e-04	3.92974960e-04	-7.83886911e-04	5.88430935e-04	1.67091798e-02	1.09708851e+03	-1.97002161e-20	1.09708851e+03	-1.09708851e+03
1.02e-06        	2.58694896e+01	1.29575443e+01	1.29119453e+01	-5.33395515e-04	8.11273696e-04	-1.34466921e-03	1.07797145e-03	2.27995116e-02	1.10576807e+03	-1.83791721e-20	1.10576807e+03	-1.10576807e+03
1.24384e-06     	2.58494113e+01	1.29731892e+01	1.28762221e+01	-1.13427504e-03	6.35638431e-04	-1.76991347e-03	1.20277595e-03	4.84835664e-02	1.10490984e+03	-1.63896201e-20	1.10490984e+03	-1.10490984e+03
1.51247e-06     	2.55136859e+01	1.27681262e+01	1.27455597e+01	-2.63972006e-04	9.66983302e-04	-1.23095531e-03	1.09896930e-03	1.12832460e-02	1.09055956e+03	-1.50062829e-20	1.09055956e+03	-1.09055956e+03
1.83477e-06     	2.49395578e+01	1.24552601e+01	1.24842977e+01	3.39667421e-04	1.06048307e-03	-7.20815651e-04	8.90649361e-04	-1.45187784e-02	1.06601897e+03	-1.24086316e-20	1.06601897e+03	-1.06601897e+03
2.2215e-06      	2.42416055e+01	1.21946497e+01	1.20469558e+01	-1.72765301e-03	-1.89904433e-04	-1.53774857e-03	6.73922070e-04	7.38469739e-02	1.03618562e+03	-1.01308765e-20	1.03618562e+03	-1.03618562e+03
2.68558e-06     	2.34910671e+01	1.19054762e+01	1.15855908e+01	-3.74186632e-03	-1.37954341e-03	-2.36232291e-03	4.91389749e-04	1.59942710e-01	1.00410453e+03	-6.51032509e-21	1.00410453e+03	-1.00410453e+03
3.24243e-06     	2.27405480e+01	1.15062885e+01	1.12342595e+01	-3.18206570e-03	-1.23729699e-03	-1.94476871e-03	3.53735860e-04	1.36014537e-01	9.72024272e+02	-4.90330381e-21	9.72024272e+02	-9.72024272e+02
3.9105e-06      	2.19923386e+01	1.10515138e+01	1.09408248e+01	-1.29478586e-03	-3.91094670e-04	-9.03691186e-04	2.56298258e-04	5.53444569e-02	9.40042734e+02	-3.17609151e-21	9.40042734e+02	-9.40042734e+02
4.71186e-06     	2.12251317e+01	1.05873891e+01	1.06377426e+01	5.89010570e-04	4.84511099e-04	1.04499471e-04	1.90005814e-04	-2.51767271e-02	9.07249164e+02	-1.48573828e-21	9.07249164e+02	-9.07249164e+02
5.67349e-06     	2.04285274e+01	1.00988505e+01	1.03296769e+01	2.70009623e-03	1.49429015e-03	1.20580608e-03	1.44242034e-04	-1.15413185e-01	8.73199033e+02	1.04808086e-21	8.73199033e+02	-8.73199033e+02
