# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.0200018       	DILUPBiCGStab	3.50026410e-05	8.52471090e-07	1	9.69541900e-05	5.67358800e-07	2	false	DILUPBiCGStab	4.56683860e-04	8.15295650e-07	2	true	DILUPBiCGStab	9.65406130e-06	8.72757090e-07	1	true	DILUPBiCGStab	3.39452980e-06	3.28463920e-08	1	true	GAMG	1.51667920e-03	1.39211990e-05	16	true
0.0200035       	DILUPBiCGStab	3.45267970e-05	8.59761400e-07	1	9.50563920e-05	4.39412220e-07	2	false	DILUPBiCGStab	5.17908610e-04	9.61966650e-07	2	true	DILUPBiCGStab	9.37984930e-06	8.00008170e-07	1	true	DILUPBiCGStab	3.48380670e-06	2.88296860e-08	1	true	GAMG	1.49233680e-03	1.25001700e-05	16	true
0.0200053       	DILUPBiCGStab	3.41655380e-05	8.30101030e-07	1	9.51546340e-05	7.24040500e-07	2	false	DILUPBiCGStab	4.91459140e-04	8.84161710e-07	2	true	DILUPBiCGStab	9.57520720e-06	8.74901960e-07	1	true	DILUPBiCGStab	3.13663110e-06	2.98955270e-08	1	true	GAMG	1.49301180e-03	1.43893360e-05	16	true
0.0200071       	DILUPBiCGStab	3.39407700e-05	8.53673090e-07	1	9.33436760e-05	4.59638960e-07	2	false	DILUPBiCGStab	5.06461890e-04	9.32419030e-07	2	true	DILUPBiCGStab	9.25317800e-06	8.04750720e-07	1	true	DILUPBiCGStab	3.32717790e-06	2.99441680e-08	1	true	GAMG	1.48180020e-03	1.40044000e-05	14	true
0.0200088       	DILUPBiCGStab	3.36139370e-05	8.10858510e-07	1	9.33399990e-05	6.01981320e-07	2	false	DILUPBiCGStab	4.98991920e-04	5.60483360e-08	4	true	DILUPBiCGStab	9.45498050e-06	8.50160660e-07	1	true	DILUPBiCGStab	3.32770330e-06	3.14904590e-08	1	true	GAMG	1.45329910e-03	1.30898410e-05	16	true
0.0200106       	DILUPBiCGStab	3.35980210e-05	8.38929810e-07	1	9.18850080e-05	4.45600960e-07	2	false	DILUPBiCGStab	4.93203960e-04	8.84618650e-07	2	true	DILUPBiCGStab	9.29246900e-06	7.95317900e-07	1	true	DILUPBiCGStab	3.47219610e-06	3.03365340e-08	1	true	GAMG	1.46104970e-03	1.32253670e-05	16	true
0.0200124       	DILUPBiCGStab	3.33088410e-05	8.11218450e-07	1	9.27458050e-05	7.19694730e-07	2	false	DILUPBiCGStab	4.88309890e-04	9.33326320e-07	2	true	DILUPBiCGStab	9.30088510e-06	8.41325260e-07	1	true	DILUPBiCGStab	3.26483390e-06	2.83764730e-08	1	true	GAMG	1.46756670e-03	1.31180970e-05	16	true
0.0200142       	DILUPBiCGStab	3.30686540e-05	8.24122970e-07	1	9.11634030e-05	4.57635110e-07	2	false	DILUPBiCGStab	4.95102500e-04	9.11318960e-07	2	true	DILUPBiCGStab	9.17901750e-06	8.03129420e-07	1	true	DILUPBiCGStab	3.12467380e-06	2.90585660e-08	1	true	GAMG	1.43713170e-03	1.21751450e-05	16	true
0.0200159       	DILUPBiCGStab	3.27469680e-05	7.97553350e-07	1	9.10692020e-05	6.09706090e-07	2	false	DILUPBiCGStab	4.82625250e-04	9.60733090e-07	2	true	DILUPBiCGStab	9.28789390e-06	8.33570090e-07	1	true	DILUPBiCGStab	3.10999610e-06	3.00465230e-08	1	true	GAMG	1.42885020e-03	1.20145230e-05	16	true
0.0200177       	DILUPBiCGStab	3.25799070e-05	8.15103700e-07	1	8.96606320e-05	4.42741070e-07	2	false	DILUPBiCGStab	4.82049460e-04	9.09219360e-07	2	true	DILUPBiCGStab	9.08611070e-06	7.77818890e-07	1	true	DILUPBiCGStab	3.30787910e-06	2.83291090e-08	1	true	GAMG	1.42234170e-03	1.41497690e-05	15	true
0.0200195       	DILUPBiCGStab	3.23261620e-05	7.91684850e-07	1	9.03495530e-05	8.17360860e-07	2	false	DILUPBiCGStab	4.78194340e-04	9.62992130e-07	2	true	DILUPBiCGStab	9.14946420e-06	8.22692940e-07	1	true	DILUPBiCGStab	3.16528090e-06	2.81596070e-08	1	true	GAMG	1.42145600e-03	1.08014100e-05	16	true
0.0200212       	DILUPBiCGStab	3.19538170e-05	8.00432170e-07	1	8.83353860e-05	4.26849890e-07	2	false	DILUPBiCGStab	4.79461170e-04	9.14091910e-07	2	true	DILUPBiCGStab	9.03563460e-06	7.88955540e-07	1	true	DILUPBiCGStab	2.94055960e-06	2.67023470e-08	1	true	GAMG	1.38142600e-03	1.37755100e-05	14	true
0.020023        	DILUPBiCGStab	3.17333580e-05	7.77840530e-07	1	8.93671870e-05	5.65866310e-07	2	false	DILUPBiCGStab	4.68027680e-04	9.56084350e-07	2	true	DILUPBiCGStab	9.09518010e-06	8.09832930e-07	1	true	DILUPBiCGStab	2.89691530e-06	2.73580950e-08	1	true	GAMG	1.37315330e-03	1.24863160e-05	14	true
0.0200248       	DILUPBiCGStab	3.16363300e-05	8.04466410e-07	1	8.78382630e-05	4.18814810e-07	2	false	DILUPBiCGStab	4.71627550e-04	8.94926170e-07	2	true	DILUPBiCGStab	8.96367250e-06	7.58466030e-07	1	true	DILUPBiCGStab	3.17770760e-06	2.77485710e-08	1	true	GAMG	1.36642280e-03	1.29331440e-05	14	true
0.0200265       	DILUPBiCGStab	3.16104800e-05	7.86444030e-07	1	8.88360490e-05	6.44098200e-07	2	false	DILUPBiCGStab	4.68362960e-04	5.40120120e-07	3	true	DILUPBiCGStab	9.07228730e-06	8.12432690e-07	1	true	DILUPBiCGStab	3.07017840e-06	2.74462890e-08	1	true	GAMG	1.36274700e-03	1.33030180e-05	14	true
0.0200283       	DILUPBiCGStab	3.13715760e-05	8.04656410e-07	1	8.75838850e-05	4.02375700e-07	2	false	DILUPBiCGStab	4.71827010e-04	9.07120600e-07	2	true	DILUPBiCGStab	8.98012350e-06	7.88306650e-07	1	true	DILUPBiCGStab	2.86240500e-06	2.65431890e-08	1	true	GAMG	1.34679210e-03	1.27693810e-05	14	true
0.0200301       	DILUPBiCGStab	3.13103790e-05	7.77932830e-07	1	8.89169880e-05	5.75362940e-07	2	false	DILUPBiCGStab	4.64310440e-04	7.29737100e-07	3	true	DILUPBiCGStab	9.07343530e-06	8.08146040e-07	1	true	DILUPBiCGStab	2.98555860e-06	3.01318750e-08	1	true	GAMG	1.37087490e-03	1.13629690e-05	14	true
0.0200319       	DILUPBiCGStab	3.15761670e-05	8.01004500e-07	1	8.72123600e-05	4.09694320e-07	2	false	DILUPBiCGStab	4.70906010e-04	9.49699590e-07	2	true	DILUPBiCGStab	8.98788390e-06	7.76669210e-07	1	true	DILUPBiCGStab	3.40394790e-06	3.02784770e-08	1	true	GAMG	1.36516690e-03	1.12208580e-05	14	true
0.0200336       	DILUPBiCGStab	3.18382310e-05	8.10217240e-07	1	8.97065460e-05	4.84483520e-07	2	false	DILUPBiCGStab	4.69306600e-04	4.36568370e-07	3	true	DILUPBiCGStab	9.14849080e-06	8.15356850e-07	1	true	DILUPBiCGStab	3.30643640e-06	2.92101250e-08	1	true	GAMG	1.37922340e-03	1.32781600e-05	14	true
0.0200354       	DILUPBiCGStab	3.19186890e-05	8.46109430e-07	1	8.87671290e-05	4.08985480e-07	2	false	DILUPBiCGStab	4.78996620e-04	9.86073570e-07	2	true	DILUPBiCGStab	9.08547890e-06	8.04289600e-07	1	true	DILUPBiCGStab	3.19161220e-06	3.09757180e-08	1	true	GAMG	1.39346710e-03	1.03829670e-05	16	true
0.0200372       	DILUPBiCGStab	3.23648560e-05	8.46325760e-07	1	9.11113180e-05	5.26201240e-07	2	false	DILUPBiCGStab	4.78547120e-04	3.79642570e-07	3	true	DILUPBiCGStab	9.27321640e-06	8.22956080e-07	1	true	DILUPBiCGStab	3.51324260e-06	3.29485090e-08	1	true	GAMG	1.41916040e-03	1.17661890e-05	16	true
