# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 5.14718807e+01
# lRef          : 1.16975207e-02
# Aref          : 1.16975207e-02
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.010001        	2.36316284e+00	-4.89620417e+00	7.25936701e+00	1.42190045e-01	7.23675560e-02	6.98224888e-02	1.27253358e-03	-6.07778559e+00	1.01011270e+02	3.85965318e-22	1.01011270e+02	-1.01011270e+02
0.010002        	2.36380576e+00	-4.87022278e+00	7.23402854e+00	1.41589730e-01	7.20728149e-02	6.95169150e-02	1.27794994e-03	-6.05212566e+00	1.01038751e+02	5.20085100e-22	1.01038751e+02	-1.01038751e+02
0.010003        	2.36314406e+00	-4.87489896e+00	7.23804302e+00	1.41691389e-01	7.21245116e-02	6.95668774e-02	1.27881709e-03	-6.05647099e+00	1.01010468e+02	4.24924353e-22	1.01010468e+02	-1.01010468e+02
0.010004        	2.36350527e+00	-4.87509442e+00	7.23859969e+00	1.41700187e-01	7.21303906e-02	6.95697964e-02	1.28029711e-03	-6.05684705e+00	1.01025907e+02	4.46906064e-22	1.01025907e+02	-1.01025907e+02
0.010005        	2.36304763e+00	-4.87565558e+00	7.23870321e+00	1.41707962e-01	7.21346449e-02	6.95733173e-02	1.28066379e-03	-6.05717939e+00	1.01006346e+02	6.15984915e-22	1.01006346e+02	-1.01006346e+02
0.010006        	2.36337715e+00	-4.85790277e+00	7.22127992e+00	1.41296489e-01	7.19306971e-02	6.93657919e-02	1.28245262e-03	-6.03959135e+00	1.01020431e+02	5.61978958e-22	1.01020431e+02	-1.01020431e+02
0.010007        	2.36291576e+00	-4.88135747e+00	7.24427323e+00	1.41839816e-01	7.22024329e-02	6.96373827e-02	1.28252511e-03	-6.06281535e+00	1.01000709e+02	3.99378931e-22	1.01000709e+02	-1.01000709e+02
0.0100081       	2.36328557e+00	-4.86489817e+00	7.22818375e+00	1.41459076e-01	7.20125354e-02	6.94465402e-02	1.28299759e-03	-6.04654096e+00	1.01016516e+02	5.45500760e-22	1.01016516e+02	-1.01016516e+02
0.0100091       	2.36284972e+00	-4.88118064e+00	7.24403035e+00	1.41834906e-01	7.21980232e-02	6.96368827e-02	1.28057025e-03	-6.06260549e+00	1.00997886e+02	3.71985440e-22	1.00997886e+02	-1.00997886e+02
0.0100101       	2.36318549e+00	-4.89226334e+00	7.25544883e+00	1.42098114e-01	7.23253185e-02	6.97727955e-02	1.27626152e-03	-6.07385609e+00	1.01012238e+02	5.50104036e-22	1.01012238e+02	-1.01012238e+02
0.0100111       	2.36285261e+00	-4.88947765e+00	7.25233025e+00	1.42029049e-01	7.22854439e-02	6.97436048e-02	1.27091958e-03	-6.07090395e+00	1.00998010e+02	6.73201637e-22	1.00998010e+02	-1.00998010e+02
0.0100121       	2.36304292e+00	-4.87938217e+00	7.24242509e+00	1.41795091e-01	7.21673313e-02	6.96277596e-02	1.26978586e-03	-6.06090363e+00	1.01006144e+02	4.09961770e-22	1.01006144e+02	-1.01006144e+02
0.0100131       	2.36258992e+00	-4.86092318e+00	7.22351309e+00	1.41357943e-01	7.19561169e-02	6.94018260e-02	1.27714547e-03	-6.04221814e+00	1.00986781e+02	4.41780876e-22	1.00986781e+02	-1.00986781e+02
0.0100141       	2.36287508e+00	-4.84887763e+00	7.21175271e+00	1.41079473e-01	7.18183921e-02	6.92610805e-02	1.27865579e-03	-6.03031517e+00	1.00998970e+02	4.95682189e-22	1.00998970e+02	-1.00998970e+02
0.0100151       	2.36258764e+00	-4.86986140e+00	7.23244904e+00	1.41567026e-01	7.20606580e-02	6.95063684e-02	1.27714476e-03	-6.05115522e+00	1.00986684e+02	4.18314497e-22	1.00986684e+02	-1.00986684e+02
0.0100161       	2.36281834e+00	-4.87085893e+00	7.23367727e+00	1.41593062e-01	7.20721266e-02	6.95209356e-02	1.27559549e-03	-6.05226810e+00	1.00996545e+02	4.83943624e-22	1.00996545e+02	-1.00996545e+02
0.0100171       	2.36255991e+00	-4.88945434e+00	7.25201425e+00	1.42025080e-01	7.22847776e-02	6.97403021e-02	1.27223774e-03	-6.07073430e+00	1.00985499e+02	5.50291875e-22	1.00985499e+02	-1.00985499e+02
0.0100181       	2.36282344e+00	-4.88271359e+00	7.24553703e+00	1.41870462e-01	7.22042885e-02	6.96661737e-02	1.26905741e-03	-6.06412531e+00	1.00996763e+02	5.73155135e-22	1.00996763e+02	-1.00996763e+02
0.0100191       	2.36226796e+00	-4.88954221e+00	7.25181017e+00	1.42023720e-01	7.22779160e-02	6.97458042e-02	1.26605592e-03	-6.07067619e+00	1.00973019e+02	4.30693362e-22	1.00973019e+02	-1.00973019e+02
0.0100201       	2.36271775e+00	-4.86756971e+00	7.23028746e+00	1.41514934e-01	7.20284736e-02	6.94864606e-02	1.27100652e-03	-6.04892859e+00	1.00992245e+02	4.46787830e-22	1.00992245e+02	-1.00992245e+02
0.0100211       	2.36185890e+00	-4.86366179e+00	7.22552069e+00	1.41413462e-01	7.19796778e-02	6.94337839e-02	1.27294692e-03	-6.04459124e+00	1.00955535e+02	3.08948703e-22	1.00955535e+02	-1.00955535e+02
0.0100222       	2.36240418e+00	-4.85485032e+00	7.21725450e+00	1.41213695e-01	7.18811631e-02	6.93325323e-02	1.27431537e-03	-6.03605241e+00	1.00978842e+02	5.26614883e-22	1.00978842e+02	-1.00978842e+02
0.0100232       	2.36161055e+00	-4.85817088e+00	7.21978144e+00	1.41282097e-01	7.19153871e-02	6.93667096e-02	1.27433878e-03	-6.03897616e+00	1.00944919e+02	3.99432214e-22	1.00944919e+02	-1.00944919e+02
0.0100242       	2.36194873e+00	-4.86411800e+00	7.22606673e+00	1.41425186e-01	7.19851634e-02	6.94400221e-02	1.27257067e-03	-6.04509236e+00	1.00959374e+02	3.63161618e-22	1.00959374e+02	-1.00959374e+02
0.0100252       	2.36121719e+00	-4.87003121e+00	7.23124840e+00	1.41554968e-01	7.20493510e-02	6.95056172e-02	1.27186690e-03	-6.05063980e+00	1.00928105e+02	5.13256661e-22	1.00928105e+02	-1.00928105e+02
0.0100262       	2.36156791e+00	-4.86890588e+00	7.23047380e+00	1.41532744e-01	7.20343645e-02	6.94983792e-02	1.26799262e-03	-6.04968984e+00	1.00943097e+02	5.26969532e-22	1.00943097e+02	-1.00943097e+02
0.0100272       	2.36081724e+00	-4.87285319e+00	7.23367043e+00	1.41616310e-01	7.20727102e-02	6.95435999e-02	1.26455514e-03	-6.05326181e+00	1.00911010e+02	4.49769597e-22	1.00911010e+02	-1.00911010e+02
0.0100282       	2.36129260e+00	-4.85834490e+00	7.21963750e+00	1.41282449e-01	7.19047556e-02	6.93776930e-02	1.26353131e-03	-6.03899120e+00	1.00931329e+02	4.60522095e-22	1.00931329e+02	-1.00931329e+02
0.0100292       	2.36031240e+00	-4.86406487e+00	7.22437727e+00	1.41404802e-01	7.19643143e-02	6.94404874e-02	1.26191349e-03	-6.04422107e+00	1.00889431e+02	4.45175696e-22	1.00889431e+02	-1.00889431e+02
0.0100302       	2.36091284e+00	-4.84569693e+00	7.20660978e+00	1.40982107e-01	7.17547927e-02	6.92273140e-02	1.26373933e-03	-6.02615336e+00	1.00915096e+02	3.35295305e-22	1.00915096e+02	-1.00915096e+02
0.0100312       	2.35997015e+00	-4.84051021e+00	7.20048035e+00	1.40849736e-01	7.16911128e-02	6.91586230e-02	1.26624490e-03	-6.02049528e+00	1.00874801e+02	3.81298855e-22	1.00874801e+02	-1.00874801e+02
0.0100322       	2.36075564e+00	-4.84953656e+00	7.21029220e+00	1.41070096e-01	7.18010634e-02	6.92690326e-02	1.26601540e-03	-6.02991438e+00	1.00908376e+02	4.93037910e-22	1.00908376e+02	-1.00908376e+02
0.0100332       	2.35985558e+00	-4.85881745e+00	7.21867303e+00	1.41276694e-01	7.19038101e-02	6.93728842e-02	1.26546293e-03	-6.03874524e+00	1.00869904e+02	3.44720359e-22	1.00869904e+02	-1.00869904e+02
0.0100342       	2.36049337e+00	-4.86404358e+00	7.22453696e+00	1.41406421e-01	7.19717208e-02	6.94346997e-02	1.26851055e-03	-6.04429027e+00	1.00897166e+02	4.73410611e-22	1.00897166e+02	-1.00897166e+02
0.0100352       	2.35972837e+00	-4.85997064e+00	7.21969900e+00	1.41302185e-01	7.19228689e-02	6.93793162e-02	1.27177635e-03	-6.03983482e+00	1.00864467e+02	4.55351531e-22	1.00864467e+02	-1.00864467e+02
0.0100363       	2.36025850e+00	-4.85891373e+00	7.21917223e+00	1.41283660e-01	7.19129949e-02	6.93706652e-02	1.27116481e-03	-6.03904298e+00	1.00887127e+02	3.64320493e-22	1.00887127e+02	-1.00887127e+02
0.0100373       	2.35950894e+00	-4.84930023e+00	7.20880917e+00	1.41049984e-01	7.17972720e-02	6.92527118e-02	1.27228009e-03	-6.02905470e+00	1.00855088e+02	3.21054331e-22	1.00855088e+02	-1.00855088e+02
0.0100383       	2.35988550e+00	-4.84343950e+00	7.20332500e+00	1.40917277e-01	7.17337029e-02	6.91835737e-02	1.27506462e-03	-6.02338225e+00	1.00871183e+02	4.73701166e-22	1.00871183e+02	-1.00871183e+02
0.0100393       	2.35938401e+00	-4.83899526e+00	7.19837926e+00	1.40807437e-01	7.16799888e-02	6.91274484e-02	1.27627020e-03	-6.01868726e+00	1.00849747e+02	5.19930217e-22	1.00849747e+02	-1.00849747e+02
0.0100403       	2.35971946e+00	-4.84961443e+00	7.20933389e+00	1.41059797e-01	7.18065916e-02	6.92532056e-02	1.27669299e-03	-6.02947416e+00	1.00864086e+02	4.93361343e-22	1.00864086e+02	-1.00864086e+02
0.0100413       	2.35905447e+00	-4.84330695e+00	7.20236142e+00	1.40904455e-01	7.17265244e-02	6.91779302e-02	1.27429710e-03	-6.02283418e+00	1.00835662e+02	4.78299503e-22	1.00835662e+02	-1.00835662e+02
0.0100423       	2.35965200e+00	-4.86748500e+00	7.22713701e+00	1.41477091e-01	7.20068746e-02	6.94702162e-02	1.26832918e-03	-6.04731101e+00	1.00861203e+02	5.64828284e-22	1.00861203e+02	-1.00861203e+02
0.0100433       	2.35886381e+00	-4.85859462e+00	7.21745843e+00	1.41259880e-01	7.18962919e-02	6.93635880e-02	1.26635197e-03	-6.03802652e+00	1.00827512e+02	5.80951246e-22	1.00827512e+02	-1.00827512e+02
0.0100443       	2.35952487e+00	-4.86492110e+00	7.22444597e+00	1.41415621e-01	7.19710231e-02	6.94445978e-02	1.26321267e-03	-6.04468353e+00	1.00855769e+02	4.49586674e-22	1.00855769e+02	-1.00855769e+02
0.0100453       	2.35882890e+00	-4.85240045e+00	7.21122935e+00	1.41114559e-01	7.18195426e-02	6.92950161e-02	1.26226322e-03	-6.03181490e+00	1.00826020e+02	4.88016405e-22	1.00826020e+02	-1.00826020e+02
0.0100463       	2.35907891e+00	-4.84092614e+00	7.20000505e+00	1.40849041e-01	7.16951408e-02	6.91539005e-02	1.27062018e-03	-6.02046559e+00	1.00836707e+02	2.75199319e-22	1.00836707e+02	-1.00836707e+02
0.0100473       	2.35857419e+00	-4.82306295e+00	7.18163714e+00	1.40425227e-01	7.14859132e-02	6.89393140e-02	1.27329957e-03	-6.00235004e+00	1.00815133e+02	2.47467597e-22	1.00815133e+02	-1.00815133e+02
