# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
0.0200007       	DILUPBiCGStab	2.40528370e-05	5.21208780e-07	1	5.63320960e-05	8.14177810e-07	1	false	DILUPBiCGStab	1.64058610e-04	6.24242120e-07	2	true	DILUPBiCGStab	5.50925560e-05	4.33930530e-07	1	true	DILUPBiCGStab	9.88594960e-07	9.88594960e-07	0	true	GAMG	1.22921460e-04	9.33024030e-07	1	true
0.0200014       	DILUPBiCGStab	2.40661510e-05	5.21680890e-07	1	5.61386200e-05	8.10107650e-07	1	false	DILUPBiCGStab	1.87541990e-04	8.86814140e-07	2	true	DILUPBiCGStab	5.51289630e-05	4.34634370e-07	1	true	DILUPBiCGStab	9.84524840e-07	9.84524840e-07	0	true	GAMG	1.29422040e-04	9.04134330e-07	1	true
0.0200021       	DILUPBiCGStab	2.40713810e-05	5.21266300e-07	1	5.63135900e-05	8.00479370e-07	1	false	DILUPBiCGStab	1.87214280e-04	9.75639910e-07	2	true	DILUPBiCGStab	5.51286390e-05	4.34595070e-07	1	true	DILUPBiCGStab	9.86536980e-07	9.86536980e-07	0	true	GAMG	1.29647640e-04	8.76142160e-07	1	true
0.0200027       	DILUPBiCGStab	2.40823820e-05	5.20931150e-07	1	5.64871410e-05	7.95355300e-07	1	false	DILUPBiCGStab	1.87118000e-04	9.65533440e-07	2	true	DILUPBiCGStab	5.51282470e-05	4.34552970e-07	1	true	DILUPBiCGStab	9.85100500e-07	9.85100500e-07	0	true	GAMG	1.29634060e-04	9.08912800e-07	1	true
0.0200034       	DILUPBiCGStab	2.40839270e-05	5.20816750e-07	1	5.64453370e-05	7.96921430e-07	1	false	DILUPBiCGStab	1.87108390e-04	9.70644360e-07	2	true	DILUPBiCGStab	5.51277010e-05	4.34505150e-07	1	true	DILUPBiCGStab	9.82834790e-07	9.82834790e-07	0	true	GAMG	1.28397420e-04	8.46680570e-07	1	true
0.0200041       	DILUPBiCGStab	2.40823460e-05	5.20562070e-07	1	5.64320850e-05	7.90648850e-07	1	false	DILUPBiCGStab	1.86762360e-04	9.71219270e-07	2	true	DILUPBiCGStab	5.51272780e-05	4.34460400e-07	1	true	DILUPBiCGStab	9.85003930e-07	9.85003930e-07	0	true	GAMG	1.28687170e-04	8.21353440e-07	1	true
0.0200048       	DILUPBiCGStab	2.40764190e-05	5.20669970e-07	1	5.64311700e-05	7.92461420e-07	1	false	DILUPBiCGStab	1.86616630e-04	9.72261000e-07	2	true	DILUPBiCGStab	5.51261610e-05	4.34411160e-07	1	true	DILUPBiCGStab	9.85384410e-07	9.85384410e-07	0	true	GAMG	1.29536670e-04	8.27661270e-07	1	true
0.0200055       	DILUPBiCGStab	2.40915530e-05	5.20511270e-07	1	5.63192680e-05	7.83881730e-07	1	false	DILUPBiCGStab	1.86723740e-04	9.70772560e-07	2	true	DILUPBiCGStab	5.51257090e-05	4.34367160e-07	1	true	DILUPBiCGStab	9.86484780e-07	9.86484780e-07	0	true	GAMG	1.29689060e-04	9.24200060e-07	1	true
0.0200062       	DILUPBiCGStab	2.40834620e-05	5.20303930e-07	1	5.60696380e-05	7.88608180e-07	1	false	DILUPBiCGStab	1.86745910e-04	9.71870120e-07	2	true	DILUPBiCGStab	5.51251120e-05	4.34316780e-07	1	true	DILUPBiCGStab	9.86081160e-07	9.86081160e-07	0	true	GAMG	1.28979990e-04	8.71849760e-07	1	true
0.0200069       	DILUPBiCGStab	2.40869110e-05	5.20050230e-07	1	5.62302600e-05	7.76807850e-07	1	false	DILUPBiCGStab	1.86271330e-04	9.71902070e-07	2	true	DILUPBiCGStab	5.51247980e-05	4.34271200e-07	1	true	DILUPBiCGStab	9.85986460e-07	9.85986460e-07	0	true	GAMG	1.28574120e-04	8.74974680e-07	1	true
0.0200076       	DILUPBiCGStab	2.40932400e-05	5.19858130e-07	1	5.61319140e-05	7.76642520e-07	1	false	DILUPBiCGStab	1.86194360e-04	9.71223930e-07	2	true	DILUPBiCGStab	5.51243460e-05	4.34220550e-07	1	true	DILUPBiCGStab	9.90364230e-07	9.90364230e-07	0	true	GAMG	1.28518480e-04	9.46063610e-07	1	true
