# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1.00614e-07     	DILUPBiCGStab	9.99999930e-01	3.01751960e-07	2	1.00000000e+00	3.84077110e-07	2	false	DILUPBiCGStab	9.99999750e-01	1.94353000e-07	2	true	DILUPBiCGStab	1.00000000e+00	7.97847230e-08	2	true	DILUPBiCGStab	6.19018590e-03	9.82645210e-08	1	true	GAMG	1.00000000e+00	1.12728580e-03	2	true
2.13088e-07     	DILUPBiCGStab	9.39584490e-03	8.77757460e-08	1	7.09976440e-01	2.82066510e-08	2	false	DILUPBiCGStab	1.03157440e-02	1.76976860e-07	1	true	DILUPBiCGStab	5.87439620e-04	2.85066730e-07	1	true	DILUPBiCGStab	5.35598410e-04	1.95816310e-07	1	true	GAMG	5.81332160e-01	5.26500310e-03	2	true
2.7594e-07      	DILUPBiCGStab	7.20027120e-04	3.96873240e-07	1	4.92425710e-02	2.37410840e-08	1	false	DILUPBiCGStab	1.03157160e-03	5.58803480e-07	1	true	DILUPBiCGStab	2.42567670e-04	4.21913070e-08	1	true	DILUPBiCGStab	1.12819040e-04	2.73476360e-08	1	true	GAMG	7.53138660e-03	5.72659850e-05	2	true
3.51363e-07     	DILUPBiCGStab	5.35825660e-04	1.90677630e-07	1	5.38004550e-02	1.50046050e-08	1	false	DILUPBiCGStab	1.04909360e-03	5.09735390e-07	1	true	DILUPBiCGStab	2.60836880e-04	4.43410550e-08	1	true	DILUPBiCGStab	9.36452940e-05	1.70542600e-08	1	true	GAMG	1.10377520e-02	9.71265140e-05	2	true
4.4187e-07      	DILUPBiCGStab	5.81288520e-04	2.23046200e-07	1	7.34587410e-02	2.44785450e-08	1	false	DILUPBiCGStab	1.14229980e-03	6.68227520e-07	1	true	DILUPBiCGStab	3.91439490e-04	1.75497150e-07	1	true	DILUPBiCGStab	8.19151750e-05	1.61819370e-08	1	true	GAMG	2.27697220e-02	1.69974820e-04	2	true
5.50482e-07     	DILUPBiCGStab	6.16249650e-04	4.26224360e-07	1	8.40122300e-02	1.19534550e-07	1	false	DILUPBiCGStab	1.27378140e-03	5.13831250e-09	1	true	DILUPBiCGStab	1.08415630e-03	1.12100670e-09	1	true	DILUPBiCGStab	7.23796270e-05	2.00877940e-08	1	true	GAMG	8.11008840e-02	6.79209660e-04	2	true
6.80822e-07     	DILUPBiCGStab	6.37989700e-04	7.76985780e-09	1	8.74971860e-02	8.56672250e-07	1	false	DILUPBiCGStab	1.47664570e-03	4.51181040e-08	1	true	DILUPBiCGStab	2.71405930e-03	8.49921730e-09	1	true	DILUPBiCGStab	6.52145040e-05	2.46682030e-08	1	true	GAMG	5.51896970e-02	4.81785220e-04	2	true
8.37235e-07     	DILUPBiCGStab	6.73331560e-04	5.43221570e-08	1	8.93394680e-02	2.53488450e-08	2	false	DILUPBiCGStab	1.67890930e-03	3.02620760e-07	1	true	DILUPBiCGStab	4.09662930e-03	3.91867570e-08	1	true	DILUPBiCGStab	6.01952420e-05	2.94709070e-08	1	true	GAMG	3.36338930e-02	2.79607390e-04	2	true
1.02494e-06     	DILUPBiCGStab	7.30828030e-04	2.00023600e-07	1	9.05177980e-02	1.42886280e-07	2	false	DILUPBiCGStab	1.93640610e-03	8.77478510e-09	2	true	DILUPBiCGStab	4.47920760e-03	1.51840170e-07	1	true	DILUPBiCGStab	5.61813680e-05	3.58176870e-08	1	true	GAMG	2.68137780e-02	1.88888310e-04	2	true
1.25019e-06     	DILUPBiCGStab	8.00972680e-04	5.42644590e-07	1	9.12611630e-02	6.88405250e-07	2	false	DILUPBiCGStab	2.30158010e-03	6.05873860e-08	2	true	DILUPBiCGStab	4.36147040e-03	5.19000820e-07	1	true	DILUPBiCGStab	5.25391350e-05	4.40093340e-08	1	true	GAMG	2.32815640e-02	1.39391920e-04	2	true
