# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.0200018       	6.23142051e+01	2.64517983e+01	3.58624067e+01	9.41060842e+00	4.70547975e+00	4.70512867e+00	1.75539407e-04	-4.70530421e+00	3.11571025e+01	-3.69111460e-19	3.11571025e+01	-3.11571025e+01
0.0200035       	6.22895484e+01	2.63867454e+01	3.59028030e+01	9.51605763e+00	4.75820497e+00	4.75785266e+00	1.76153314e-04	-4.75802882e+00	3.11447742e+01	-2.26440085e-20	3.11447742e+01	-3.11447742e+01
0.0200053       	6.23574517e+01	2.63117973e+01	3.60456545e+01	9.73385721e+00	4.86710595e+00	4.86675126e+00	1.77348537e-04	-4.86692861e+00	3.11787259e+01	-2.49413340e-19	3.11787259e+01	-3.11787259e+01
0.0200071       	6.21523974e+01	2.63588588e+01	3.57935386e+01	9.43467982e+00	4.71752161e+00	4.71715821e+00	1.81704447e-04	-4.71733991e+00	3.10761987e+01	6.71206461e-20	3.10761987e+01	-3.10761987e+01
0.0200088       	6.22898856e+01	2.63691991e+01	3.59206865e+01	9.55148744e+00	4.77592638e+00	4.77556107e+00	1.82654616e-04	-4.77574372e+00	3.11449428e+01	-4.63637641e-19	3.11449428e+01	-3.11449428e+01
0.0200106       	6.22755780e+01	2.63606989e+01	3.59148791e+01	9.55418023e+00	4.77727172e+00	4.77690851e+00	1.81607048e-04	-4.77709011e+00	3.11377890e+01	-1.07073950e-19	3.11377890e+01	-3.11377890e+01
0.0200124       	6.24084493e+01	2.63940442e+01	3.60144051e+01	9.62036092e+00	4.81036130e+00	4.80999962e+00	1.80842224e-04	-4.81018046e+00	3.12042246e+01	-1.55018630e-19	3.12042246e+01	-3.12042246e+01
0.0200142       	6.21097317e+01	2.63358561e+01	3.57738756e+01	9.43801957e+00	4.71918745e+00	4.71883213e+00	1.77659696e-04	-4.71900979e+00	3.10548659e+01	7.62038471e-20	3.10548659e+01	-3.10548659e+01
0.0200159       	6.22300813e+01	2.63811662e+01	3.58489151e+01	9.46774891e+00	4.73405210e+00	4.73369681e+00	1.77647353e-04	-4.73387446e+00	3.11150407e+01	-5.28709728e-19	3.11150407e+01	-3.11150407e+01
0.0200177       	6.23005660e+01	2.63361110e+01	3.59644550e+01	9.62834405e+00	4.81434510e+00	4.81399895e+00	1.73075255e-04	-4.81417202e+00	3.11502830e+01	-5.35929956e-20	3.11502830e+01	-3.11502830e+01
0.0200195       	6.23517498e+01	2.64337111e+01	3.59180387e+01	9.48432761e+00	4.74233603e+00	4.74199159e+00	1.72220030e-04	-4.74216381e+00	3.11758749e+01	5.79864302e-20	3.11758749e+01	-3.11758749e+01
0.0200212       	6.21932850e+01	2.64221120e+01	3.57711730e+01	9.34906104e+00	4.67471418e+00	4.67434686e+00	1.83662602e-04	-4.67453052e+00	3.10966425e+01	2.12059265e-19	3.10966425e+01	-3.10966425e+01
0.020023        	6.21539581e+01	2.64452204e+01	3.57087377e+01	9.26351731e+00	4.63194785e+00	4.63156946e+00	1.89195027e-04	-4.63175865e+00	3.10769791e+01	-3.48474586e-19	3.10769791e+01	-3.10769791e+01
0.0200248       	6.21332770e+01	2.63903247e+01	3.57429523e+01	9.35262760e+00	4.67650127e+00	4.67612632e+00	1.87474728e-04	-4.67631380e+00	3.10666385e+01	1.04307346e-19	3.10666385e+01	-3.10666385e+01
0.0200265       	6.22848013e+01	2.64349877e+01	3.58498136e+01	9.41482592e+00	4.70760733e+00	4.70721859e+00	1.94370761e-04	-4.70741296e+00	3.11424007e+01	3.23372566e-20	3.11424007e+01	-3.11424007e+01
0.0200283       	6.21142858e+01	2.63854356e+01	3.57288502e+01	9.34341456e+00	4.67190170e+00	4.67151286e+00	1.94422414e-04	-4.67170728e+00	3.10571429e+01	-1.04111177e-20	3.10571429e+01	-3.10571429e+01
0.0200301       	6.23845484e+01	2.64040393e+01	3.59805091e+01	9.57646974e+00	4.78843628e+00	4.78803346e+00	2.01413669e-04	-4.78823487e+00	3.11922742e+01	-1.70566771e-19	3.11922742e+01	-3.11922742e+01
0.0200319       	6.22453030e+01	2.64191894e+01	3.58261137e+01	9.40692432e+00	4.70365676e+00	4.70326756e+00	1.94602465e-04	-4.70346216e+00	3.11226515e+01	2.27221550e-19	3.11226515e+01	-3.11226515e+01
0.0200336       	6.21845206e+01	2.64317712e+01	3.57527495e+01	9.32097828e+00	4.66067907e+00	4.66029921e+00	1.89929930e-04	-4.66048914e+00	3.10922603e+01	2.11861717e-19	3.10922603e+01	-3.10922603e+01
0.0200354       	6.20698697e+01	2.64046868e+01	3.56651829e+01	9.26049614e+00	4.63044792e+00	4.63004822e+00	1.99852089e-04	-4.63024807e+00	3.10349348e+01	-4.05830057e-20	3.10349348e+01	-3.10349348e+01
0.0200372       	6.22327049e+01	2.63818921e+01	3.58508127e+01	9.46892063e+00	4.73465741e+00	4.73426322e+00	1.97097298e-04	-4.73446032e+00	3.11163524e+01	-2.02287709e-19	3.11163524e+01	-3.11163524e+01
0.0200389       	6.22711806e+01	2.64384833e+01	3.58326973e+01	9.39421403e+00	4.69729721e+00	4.69691681e+00	1.90199825e-04	-4.69710701e+00	3.11355903e+01	2.39442105e-19	3.11355903e+01	-3.11355903e+01
0.0200407       	6.20727723e+01	2.63934616e+01	3.56793107e+01	9.28584916e+00	4.64311316e+00	4.64273600e+00	1.88578016e-04	-4.64292458e+00	3.10363861e+01	1.10579192e-19	3.10363861e+01	-3.10363861e+01
0.0200425       	6.20973524e+01	2.63110910e+01	3.57862614e+01	9.47517032e+00	4.73777293e+00	4.73739739e+00	1.87766990e-04	-4.73758516e+00	3.10486762e+01	-2.71691914e-20	3.10486762e+01	-3.10486762e+01
0.0200442       	6.20700061e+01	2.63451850e+01	3.57248212e+01	9.37963622e+00	4.69000689e+00	4.68962933e+00	1.88781535e-04	-4.68981811e+00	3.10350031e+01	-1.23201774e-19	3.10350031e+01	-3.10350031e+01
0.020046        	6.22647442e+01	2.64101927e+01	3.58545515e+01	9.44435874e+00	4.72236332e+00	4.72199541e+00	1.83955217e-04	-4.72217937e+00	3.11323721e+01	2.06882919e-19	3.11323721e+01	-3.11323721e+01
0.0200478       	6.22362631e+01	2.63724789e+01	3.58637842e+01	9.49130532e+00	4.74583804e+00	4.74546728e+00	1.85380940e-04	-4.74565266e+00	3.11181315e+01	2.40642697e-19	3.11181315e+01	-3.11181315e+01
0.0200496       	6.19882296e+01	2.62172622e+01	3.57709674e+01	9.55370521e+00	4.77703772e+00	4.77666749e+00	1.85114472e-04	-4.77685260e+00	3.09941148e+01	-1.29717054e-19	3.09941148e+01	-3.09941148e+01
0.0200513       	6.22445666e+01	2.63188164e+01	3.59257502e+01	9.60693381e+00	4.80364525e+00	4.80328856e+00	1.78345597e-04	-4.80346691e+00	3.11222833e+01	4.73155512e-20	3.11222833e+01	-3.11222833e+01
0.0200531       	6.20636573e+01	2.63457588e+01	3.57178985e+01	9.37213967e+00	4.68624536e+00	4.68589431e+00	1.75524507e-04	-4.68606983e+00	3.10318287e+01	2.26841561e-19	3.10318287e+01	-3.10318287e+01
0.0200549       	6.22997137e+01	2.64076136e+01	3.58921001e+01	9.48448644e+00	4.74241897e+00	4.74206747e+00	1.75747220e-04	-4.74224322e+00	3.11498568e+01	1.68289438e-19	3.11498568e+01	-3.11498568e+01
0.0200566       	6.20062716e+01	2.62962771e+01	3.57099945e+01	9.41371748e+00	4.70703314e+00	4.70668434e+00	1.74397880e-04	-4.70685874e+00	3.10031358e+01	-1.13565742e-19	3.10031358e+01	-3.10031358e+01
0.0200584       	6.21816804e+01	2.62785877e+01	3.59030928e+01	9.62450508e+00	4.81241883e+00	4.81208625e+00	1.66286493e-04	-4.81225254e+00	3.10908402e+01	1.54556873e-21	3.10908402e+01	-3.10908402e+01
0.0200602       	6.20806596e+01	2.63362998e+01	3.57443598e+01	9.40805997e+00	4.70418844e+00	4.70387153e+00	1.58455274e-04	-4.70402998e+00	3.10403298e+01	2.60058415e-19	3.10403298e+01	-3.10403298e+01
0.0200619       	6.22551510e+01	2.63136906e+01	3.59414604e+01	9.62776973e+00	4.81405371e+00	4.81371602e+00	1.68844929e-04	-4.81388487e+00	3.11275755e+01	1.70630647e-20	3.11275755e+01	-3.11275755e+01
0.0200637       	6.21314614e+01	2.62816661e+01	3.58497954e+01	9.56812933e+00	4.78424180e+00	4.78388752e+00	1.77138988e-04	-4.78406466e+00	3.10657307e+01	-1.73581253e-19	3.10657307e+01	-3.10657307e+01
0.0200655       	6.21629949e+01	2.63463659e+01	3.58166291e+01	9.47026318e+00	4.73529866e+00	4.73496451e+00	1.67077020e-04	-4.73513159e+00	3.10814975e+01	2.77630458e-20	3.10814975e+01	-3.10814975e+01
0.0200673       	6.22649344e+01	2.63249593e+01	3.59399751e+01	9.61501575e+00	4.80766356e+00	4.80735219e+00	1.55683366e-04	-4.80750788e+00	3.11324672e+01	2.38961140e-19	3.11324672e+01	-3.11324672e+01
0.020069        	6.22727145e+01	2.62935477e+01	3.59791667e+01	9.68561898e+00	4.84296317e+00	4.84265581e+00	1.53677733e-04	-4.84280949e+00	3.11363572e+01	1.55540070e-20	3.11363572e+01	-3.11363572e+01
0.0200708       	6.22032874e+01	2.62851656e+01	3.59181217e+01	9.63295611e+00	4.81663175e+00	4.81632436e+00	1.53691574e-04	-4.81647806e+00	3.11016437e+01	-1.36967122e-19	3.11016437e+01	-3.11016437e+01
0.0200726       	6.21915567e+01	2.63186179e+01	3.58729389e+01	9.55432102e+00	4.77730627e+00	4.77701475e+00	1.45763158e-04	-4.77716051e+00	3.10957784e+01	1.55879760e-19	3.10957784e+01	-3.10957784e+01
0.0200743       	6.22493371e+01	2.63325330e+01	3.59168040e+01	9.58427097e+00	4.79227340e+00	4.79199757e+00	1.37918657e-04	-4.79213549e+00	3.11246685e+01	1.20594283e-19	3.11246685e+01	-3.11246685e+01
0.0200761       	6.21836933e+01	2.62415929e+01	3.59421003e+01	9.70050737e+00	4.85038937e+00	4.85011800e+00	1.35684429e-04	-4.85025369e+00	3.10918466e+01	3.21839256e-21	3.10918466e+01	-3.10918466e+01
0.0200779       	6.23280148e+01	2.62998760e+01	3.60281388e+01	9.72826279e+00	4.86428056e+00	4.86398224e+00	1.49158561e-04	-4.86413140e+00	3.11640074e+01	-3.15204338e-20	3.11640074e+01	-3.11640074e+01
0.0200796       	6.20140857e+01	2.62558718e+01	3.57582139e+01	9.50234210e+00	4.75131789e+00	4.75102421e+00	1.46838470e-04	-4.75117105e+00	3.10070428e+01	1.74113982e-19	3.10070428e+01	-3.10070428e+01
0.0200814       	6.21619375e+01	2.63157646e+01	3.58461729e+01	9.53040821e+00	4.76534675e+00	4.76506147e+00	1.42639982e-04	-4.76520411e+00	3.10809687e+01	7.64174029e-22	3.10809687e+01	-3.10809687e+01
0.0200832       	6.22495986e+01	2.62974713e+01	3.59521274e+01	9.65465606e+00	4.82746805e+00	4.82718801e+00	1.40018025e-04	-4.82732803e+00	3.11247993e+01	5.06342564e-20	3.11247993e+01	-3.11247993e+01
0.020085        	6.21812008e+01	2.61947473e+01	3.59864535e+01	9.79170620e+00	4.89600732e+00	4.89569887e+00	1.54224995e-04	-4.89585310e+00	3.10906004e+01	-7.91731089e-20	3.10906004e+01	-3.10906004e+01
0.0200867       	6.20106533e+01	2.62538494e+01	3.57568040e+01	9.50295461e+00	4.75163044e+00	4.75132418e+00	1.53129670e-04	-4.75147731e+00	3.10053267e+01	9.90847905e-20	3.10053267e+01	-3.10053267e+01
0.0200885       	6.21065186e+01	2.62708378e+01	3.58356807e+01	9.56484288e+00	4.78256723e+00	4.78227566e+00	1.45783755e-04	-4.78242144e+00	3.10532593e+01	-5.14756520e-20	3.10532593e+01	-3.10532593e+01
0.0200903       	6.22252452e+01	2.62679508e+01	3.59572943e+01	9.68934351e+00	4.84482063e+00	4.84452288e+00	1.48876796e-04	-4.84467175e+00	3.11126226e+01	7.18597188e-20	3.11126226e+01	-3.11126226e+01
0.020092        	6.22931207e+01	2.63020247e+01	3.59910960e+01	9.68907123e+00	4.84469660e+00	4.84437463e+00	1.60981464e-04	-4.84453561e+00	3.11465603e+01	3.40855406e-20	3.11465603e+01	-3.11465603e+01
0.0200938       	6.19872300e+01	2.62604208e+01	3.57268092e+01	9.46638846e+00	4.73334721e+00	4.73304125e+00	1.52977789e-04	-4.73319423e+00	3.09936150e+01	-2.69423109e-21	3.09936150e+01	-3.09936150e+01
0.0200956       	6.21765430e+01	2.63086650e+01	3.58678780e+01	9.55921303e+00	4.77975188e+00	4.77946115e+00	1.45363524e-04	-4.77960651e+00	3.10882715e+01	-6.53609465e-20	3.10882715e+01	-3.10882715e+01
0.0200973       	6.22306022e+01	2.62316144e+01	3.59989879e+01	9.76737350e+00	4.88383980e+00	4.88353369e+00	1.53053855e-04	-4.88368675e+00	3.11153011e+01	1.56069017e-19	3.11153011e+01	-3.11153011e+01
0.0200991       	6.22613003e+01	2.62974214e+01	3.59638789e+01	9.66645753e+00	4.83338969e+00	4.83306784e+00	1.60925631e-04	-4.83322877e+00	3.11306501e+01	1.36743606e-19	3.11306501e+01	-3.11306501e+01
0.0201009       	6.20681871e+01	2.63032692e+01	3.57649179e+01	9.46164869e+00	4.73097733e+00	4.73067135e+00	1.52991012e-04	-4.73082434e+00	3.10340935e+01	2.20053065e-19	3.10340935e+01	-3.10340935e+01
0.0201027       	6.22994834e+01	2.63386996e+01	3.59607839e+01	9.62208431e+00	4.81118299e+00	4.81090132e+00	1.40834183e-04	-4.81104216e+00	3.11497417e+01	-4.01620008e-20	3.11497417e+01	-3.11497417e+01
0.0201044       	6.22975607e+01	2.62748290e+01	3.60227316e+01	9.74790258e+00	4.87409987e+00	4.87380271e+00	1.48578315e-04	-4.87395129e+00	3.11487803e+01	2.15074375e-19	3.11487803e+01	-3.11487803e+01
0.0201062       	6.22801423e+01	2.63055790e+01	3.59745633e+01	9.66898427e+00	4.83465264e+00	4.83433163e+00	1.60505032e-04	-4.83449213e+00	3.11400712e+01	4.44590454e-20	3.11400712e+01	-3.11400712e+01
0.020108        	6.20879760e+01	2.62819887e+01	3.58059874e+01	9.52399873e+00	4.76215620e+00	4.76184253e+00	1.56838828e-04	-4.76199936e+00	3.10439880e+01	-5.85619250e-20	3.10439880e+01	-3.10439880e+01
0.0201097       	6.23644987e+01	2.63480427e+01	3.60164561e+01	9.66841337e+00	4.83435624e+00	4.83405713e+00	1.49558546e-04	-4.83420668e+00	3.11822494e+01	1.17235685e-19	3.11822494e+01	-3.11822494e+01
0.0201115       	6.23424442e+01	2.63241985e+01	3.60182458e+01	9.69404728e+00	4.84718134e+00	4.84686594e+00	1.57699770e-04	-4.84702364e+00	3.11712221e+01	2.68322155e-19	3.11712221e+01	-3.11712221e+01
0.0201133       	6.22676094e+01	2.63056170e+01	3.59619924e+01	9.65637535e+00	4.82835447e+00	4.82802088e+00	1.66793953e-04	-4.82818767e+00	3.11338047e+01	1.02758191e-19	3.11338047e+01	-3.11338047e+01
0.020115        	6.21168617e+01	2.62918686e+01	3.58249931e+01	9.53312452e+00	4.76673135e+00	4.76639317e+00	1.69091313e-04	-4.76656226e+00	3.10584309e+01	-5.72911748e-20	3.10584309e+01	-3.10584309e+01
0.0201168       	6.23756744e+01	2.63684007e+01	3.60072737e+01	9.63887302e+00	4.81960212e+00	4.81927091e+00	1.65606937e-04	-4.81943651e+00	3.11878372e+01	1.07876643e-19	3.11878372e+01	-3.11878372e+01
0.0201186       	6.23372109e+01	2.63400155e+01	3.59971954e+01	9.65717997e+00	4.82875650e+00	4.82842347e+00	1.66512456e-04	-4.82858998e+00	3.11686055e+01	2.20210047e-19	3.11686055e+01	-3.11686055e+01
0.0201204       	6.22534653e+01	2.63463466e+01	3.59071187e+01	9.56077213e+00	4.78055823e+00	4.78021391e+00	1.72161772e-04	-4.78038607e+00	3.11267327e+01	2.33037644e-20	3.11267327e+01	-3.11267327e+01
0.0201221       	6.20880366e+01	2.62759149e+01	3.58121217e+01	9.53620689e+00	4.76827612e+00	4.76793077e+00	1.72677424e-04	-4.76810344e+00	3.10440183e+01	-1.33662423e-19	3.10440183e+01	-3.10440183e+01
0.0201239       	6.23606077e+01	2.63493153e+01	3.60112924e+01	9.66197716e+00	4.83115929e+00	4.83081787e+00	1.70708435e-04	-4.83098858e+00	3.11803039e+01	2.62735822e-20	3.11803039e+01	-3.11803039e+01
0.0201257       	6.22958896e+01	2.63452898e+01	3.59505998e+01	9.60531005e+00	4.80282475e+00	4.80248530e+00	1.69726085e-04	-4.80265502e+00	3.11479448e+01	2.68489266e-19	3.11479448e+01	-3.11479448e+01
0.0201274       	6.22492988e+01	2.64557908e+01	3.57935080e+01	9.33771722e+00	4.66903394e+00	4.66868328e+00	1.75332323e-04	-4.66885861e+00	3.11246494e+01	-6.95932268e-20	3.11246494e+01	-3.11246494e+01
0.0201292       	6.21324589e+01	2.63482956e+01	3.57841633e+01	9.43586770e+00	4.71810544e+00	4.71776225e+00	1.71592892e-04	-4.71793385e+00	3.10662295e+01	-1.04645424e-19	3.10662295e+01	-3.10662295e+01
0.020131        	6.23869432e+01	2.63274385e+01	3.60595047e+01	9.73206627e+00	4.86619827e+00	4.86586799e+00	1.65141259e-04	-4.86603313e+00	3.11934716e+01	-3.70530855e-20	3.11934716e+01	-3.11934716e+01
0.0201327       	6.22681850e+01	2.63679585e+01	3.59002266e+01	9.53226811e+00	4.76629397e+00	4.76597414e+00	1.59917990e-04	-4.76613405e+00	3.11340925e+01	2.88843371e-19	3.11340925e+01	-3.11340925e+01
0.0201345       	6.22406645e+01	2.64527984e+01	3.57878661e+01	9.33506777e+00	4.66770259e+00	4.66736518e+00	1.68702217e-04	-4.66753389e+00	3.11203322e+01	-1.93963879e-19	3.11203322e+01	-3.11203322e+01
0.0201363       	6.21074520e+01	2.64097826e+01	3.56976695e+01	9.28788690e+00	4.64411816e+00	4.64376874e+00	1.74713331e-04	-4.64394345e+00	3.10537260e+01	-2.85934221e-20	3.10537260e+01	-3.10537260e+01
0.0201381       	6.22972027e+01	2.64762108e+01	3.58209918e+01	9.34478101e+00	4.67256675e+00	4.67221426e+00	1.76242760e-04	-4.67239051e+00	3.11486013e+01	-1.10446568e-19	3.11486013e+01	-3.11486013e+01
0.0201398       	6.22316028e+01	2.64329330e+01	3.57986698e+01	9.36573672e+00	4.68304932e+00	4.68268740e+00	1.80957757e-04	-4.68286836e+00	3.11158014e+01	1.57207456e-19	3.11158014e+01	-3.11158014e+01
0.0201416       	6.23039075e+01	2.64369695e+01	3.58669381e+01	9.42996859e+00	4.71517047e+00	4.71479811e+00	1.86178847e-04	-4.71498429e+00	3.11519538e+01	-1.65518942e-19	3.11519538e+01	-3.11519538e+01
0.0201434       	6.22704829e+01	2.63946166e+01	3.58758662e+01	9.48124959e+00	4.74081546e+00	4.74043413e+00	1.90663343e-04	-4.74062480e+00	3.11352414e+01	1.05390174e-20	3.11352414e+01	-3.11352414e+01
0.0201451       	6.23375325e+01	2.64745764e+01	3.58629561e+01	9.38837965e+00	4.69437558e+00	4.69400407e+00	1.85757312e-04	-4.69418982e+00	3.11687663e+01	-2.57346325e-19	3.11687663e+01	-3.11687663e+01
0.0201469       	6.22354327e+01	2.64887015e+01	3.57467312e+01	9.25802972e+00	4.62920377e+00	4.62882595e+00	1.88911972e-04	-4.62901486e+00	3.11177164e+01	1.04185963e-19	3.11177164e+01	-3.11177164e+01
0.0201487       	6.22126615e+01	2.64833167e+01	3.57293448e+01	9.24602805e+00	4.62321138e+00	4.62281667e+00	1.97358030e-04	-4.62301402e+00	3.11063308e+01	-2.29182117e-19	3.11063308e+01	-3.11063308e+01
0.0201504       	6.21155865e+01	2.63975127e+01	3.57180738e+01	9.32056107e+00	4.66046802e+00	4.66009305e+00	1.87486524e-04	-4.66028053e+00	3.10577933e+01	1.00668916e-19	3.10577933e+01	-3.10577933e+01
0.0201522       	6.23614914e+01	2.64919149e+01	3.58695765e+01	9.37766160e+00	4.68901960e+00	4.68864200e+00	1.88801180e-04	-4.68883080e+00	3.11807457e+01	-3.77344360e-20	3.11807457e+01	-3.11807457e+01
0.020154        	6.21280083e+01	2.64662993e+01	3.56617090e+01	9.19540969e+00	4.59789193e+00	4.59751776e+00	1.87081810e-04	-4.59770485e+00	3.10640042e+01	-7.57786482e-20	3.10640042e+01	-3.10640042e+01
0.0201558       	6.22175024e+01	2.64344861e+01	3.57830163e+01	9.34853017e+00	4.67445110e+00	4.67407907e+00	1.86017706e-04	-4.67426508e+00	3.11087512e+01	-8.67405561e-20	3.11087512e+01	-3.11087512e+01
0.0201575       	6.20826763e+01	2.63070361e+01	3.57756402e+01	9.46860419e+00	4.73447402e+00	4.73413017e+00	1.71927425e-04	-4.73430210e+00	3.10413381e+01	8.56328968e-20	3.10413381e+01	-3.10413381e+01
0.0201593       	6.22749405e+01	2.63789094e+01	3.58960311e+01	9.51712163e+00	4.75873356e+00	4.75838807e+00	1.72743770e-04	-4.75856082e+00	3.11374703e+01	-1.32199055e-19	3.11374703e+01	-3.11374703e+01
0.0201611       	6.23598248e+01	2.63861918e+01	3.59736330e+01	9.58744123e+00	4.79390067e+00	4.79354056e+00	1.80057329e-04	-4.79372061e+00	3.11799124e+01	-9.94425964e-20	3.11799124e+01	-3.11799124e+01
0.0201628       	6.22571186e+01	2.63900491e+01	3.58670694e+01	9.47702029e+00	4.73869065e+00	4.73832964e+00	1.80506341e-04	-4.73851014e+00	3.11285593e+01	-2.16350590e-19	3.11285593e+01	-3.11285593e+01
0.0201646       	6.22846090e+01	2.63673175e+01	3.59172915e+01	9.54997393e+00	4.77515567e+00	4.77481827e+00	1.68700813e-04	-4.77498697e+00	3.11423045e+01	9.62481300e-20	3.11423045e+01	-3.11423045e+01
0.0201664       	6.21710120e+01	2.62854735e+01	3.58855386e+01	9.60006509e+00	4.80019137e+00	4.79987372e+00	1.58828615e-04	-4.80003254e+00	3.10855060e+01	-2.04823489e-19	3.10855060e+01	-3.10855060e+01
0.0201681       	6.22793739e+01	2.63298809e+01	3.59494929e+01	9.61961198e+00	4.80996423e+00	4.80964775e+00	1.58240579e-04	-4.80980599e+00	3.11396869e+01	-1.35383926e-19	3.11396869e+01	-3.11396869e+01
