# Force and moment coefficients
# dragDir       : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# sideDir       : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# liftDir       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# rollAxis      : (1.00000000e+00 0.00000000e+00 0.00000000e+00)
# pitchAxis     : (0.00000000e+00 0.00000000e+00 -1.00000000e+00)
# yawAxis       : (0.00000000e+00 1.00000000e+00 0.00000000e+00)
# magUInf       : 1.00000000e+00
# lRef          : 1.00000000e+00
# Aref          : 1.00000000e+00
# CofR          : (0.00000000e+00 0.00000000e+00 0.00000000e+00)
#
# Time          	Cd              	Cd(f)           	Cd(r)           	Cl              	Cl(f)           	Cl(r)           	CmPitch         	CmRoll          	CmYaw           	Cs              	Cs(f)           	Cs(r)           
0.0210018       	6.22040745e+01	2.64420477e+01	3.57620268e+01	9.31997912e+00	4.66016385e+00	4.65981526e+00	1.74295890e-04	-4.65998956e+00	3.11020373e+01	-2.92199281e-20	3.11020373e+01	-3.11020373e+01
0.0210035       	6.23512355e+01	2.65126542e+01	3.58385813e+01	9.32592717e+00	4.66313415e+00	4.66279302e+00	1.70569727e-04	-4.66296358e+00	3.11756178e+01	1.44497933e-19	3.11756178e+01	-3.11756178e+01
0.0210053       	6.20676883e+01	2.64152833e+01	3.56524050e+01	9.23712171e+00	4.61874013e+00	4.61838158e+00	1.79273460e-04	-4.61856086e+00	3.10338441e+01	-7.93928035e-20	3.10338441e+01	-3.10338441e+01
0.0210071       	6.21382506e+01	2.65029963e+01	3.56352543e+01	9.13225798e+00	4.56630513e+00	4.56595285e+00	1.76135415e-04	-4.56612899e+00	3.10691253e+01	1.31254630e-19	3.10691253e+01	-3.10691253e+01
0.0210088       	6.22459714e+01	2.64176537e+01	3.58283178e+01	9.41066409e+00	4.70550928e+00	4.70515480e+00	1.77240613e-04	-4.70533204e+00	3.11229857e+01	2.08092328e-19	3.11229857e+01	-3.11229857e+01
0.0210106       	6.22259369e+01	2.65634117e+01	3.56625252e+01	9.09911352e+00	4.54973068e+00	4.54938284e+00	1.73917566e-04	-4.54955676e+00	3.11129684e+01	6.59618991e-20	3.11129684e+01	-3.11129684e+01
0.0210124       	6.22315326e+01	2.64189701e+01	3.58125625e+01	9.39359246e+00	4.69697718e+00	4.69661528e+00	1.80954442e-04	-4.69679623e+00	3.11157663e+01	6.24860923e-20	3.11157663e+01	-3.11157663e+01
0.0210142       	6.20887673e+01	2.64067041e+01	3.56820632e+01	9.27535904e+00	4.63785754e+00	4.63750150e+00	1.78020804e-04	-4.63767952e+00	3.10443836e+01	-4.67625839e-20	3.10443836e+01	-3.10443836e+01
0.0210159       	6.22067286e+01	2.64317488e+01	3.57749799e+01	9.34323114e+00	4.67178763e+00	4.67144351e+00	1.72057446e-04	-4.67161557e+00	3.11033643e+01	2.99159577e-19	3.11033643e+01	-3.11033643e+01
0.0210177       	6.21380497e+01	2.65345968e+01	3.56034529e+01	9.06885606e+00	4.53459294e+00	4.53426312e+00	1.64912764e-04	-4.53442803e+00	3.10690249e+01	3.48461717e-20	3.10690249e+01	-3.10690249e+01
0.0210195       	6.22962459e+01	2.64663983e+01	3.58298476e+01	9.36344937e+00	4.68189368e+00	4.68155568e+00	1.69000910e-04	-4.68172468e+00	3.11481229e+01	-1.06187934e-19	3.11481229e+01	-3.11481229e+01
0.0210212       	6.20356491e+01	2.63961050e+01	3.56395441e+01	9.24343913e+00	4.62189380e+00	4.62154533e+00	1.74237732e-04	-4.62171956e+00	3.10178246e+01	-5.50923489e-20	3.10178246e+01	-3.10178246e+01
0.021023        	6.21998945e+01	2.64001909e+01	3.57997036e+01	9.39951268e+00	4.69991384e+00	4.69959884e+00	1.57502179e-04	-4.69975634e+00	3.10999473e+01	2.03463991e-19	3.10999473e+01	-3.10999473e+01
0.0210248       	6.22265397e+01	2.64428922e+01	3.57836475e+01	9.34075527e+00	4.67052542e+00	4.67022985e+00	1.47781411e-04	-4.67037763e+00	3.11132699e+01	-1.82579184e-20	3.11132699e+01	-3.11132699e+01
0.0210265       	6.22312807e+01	2.64132886e+01	3.58179920e+01	9.40470338e+00	4.70250373e+00	4.70219964e+00	1.52043317e-04	-4.70235169e+00	3.11156403e+01	-1.21797538e-19	3.11156403e+01	-3.11156403e+01
0.0210283       	6.22986840e+01	2.64618279e+01	3.58368560e+01	9.37502810e+00	4.68766686e+00	4.68736124e+00	1.52811083e-04	-4.68751405e+00	3.11493420e+01	-9.04317511e-20	3.11493420e+01	-3.11493420e+01
0.0210301       	2.00488189e+00	-1.18924784e+01	1.38973603e+01	3.01677170e-01	1.51238287e-01	1.50438883e-01	3.99702123e-04	-1.28949193e+01	8.56968732e+01	8.33746822e-21	8.56968732e+01	-8.56968732e+01
0.0210319       	2.00828953e+00	-1.17765443e+01	1.37848338e+01	2.99004748e-01	1.49881788e-01	1.49122959e-01	3.79414374e-04	-1.27806890e+01	8.58425299e+01	4.27153956e-21	8.58425299e+01	-8.58425299e+01
0.0210336       	2.00980440e+00	-1.20775479e+01	1.40873523e+01	3.06064459e-01	1.53397370e-01	1.52667090e-01	3.65140199e-04	-1.30824501e+01	8.59072815e+01	-3.02124298e-21	8.59072815e+01	-8.59072815e+01
0.0210354       	2.00964510e+00	-1.21899412e+01	1.41995863e+01	3.08692044e-01	1.54709144e-01	1.53982900e-01	3.63122025e-04	-1.31947638e+01	8.59004724e+01	-2.07640015e-21	8.59004724e+01	-8.59004724e+01
0.0210372       	2.00651508e+00	-1.18053259e+01	1.38118410e+01	2.99657339e-01	1.50160402e-01	1.49496937e-01	3.31732407e-04	-1.28085834e+01	8.57666826e+01	7.51755564e-21	8.57666826e+01	-8.57666826e+01
0.0210389       	2.00664874e+00	-1.18712549e+01	1.38779037e+01	3.01201315e-01	1.50928863e-01	1.50272452e-01	3.28205215e-04	-1.28745793e+01	8.57723957e+01	1.02086712e-21	8.57723957e+01	-8.57723957e+01
0.0210407       	2.00874813e+00	-1.20938250e+01	1.41025731e+01	3.06432908e-01	1.53555086e-01	1.52877821e-01	3.38632414e-04	-1.30981990e+01	8.58621323e+01	-2.15668147e-22	8.58621323e+01	-8.58621323e+01
0.0210425       	2.00923011e+00	-1.21281160e+01	1.41373461e+01	3.07240786e-01	1.53969343e-01	1.53271442e-01	3.48950608e-04	-1.31327311e+01	8.58827341e+01	-1.71303341e-21	8.58827341e+01	-8.58827341e+01
0.0210442       	2.00339581e+00	-1.17712140e+01	1.37746098e+01	2.98822802e-01	1.49735977e-01	1.49086825e-01	3.24575963e-04	-1.27729119e+01	8.56333519e+01	3.54985993e-21	8.56333519e+01	-8.56333519e+01
0.021046        	2.00762771e+00	-1.18326363e+01	1.38402640e+01	3.00309281e-01	1.50462883e-01	1.49846398e-01	3.08242023e-04	-1.28364501e+01	8.58142410e+01	2.51185057e-21	8.58142410e+01	-8.58142410e+01
0.0210478       	2.00784590e+00	-1.23346560e+01	1.43425019e+01	3.12056606e-01	1.56374042e-01	1.55682564e-01	3.45738918e-04	-1.33385790e+01	8.58235671e+01	9.93503670e-22	8.58235671e+01	-8.58235671e+01
0.0210496       	2.00811093e+00	-1.20866869e+01	1.40947978e+01	3.06258457e-01	1.53506312e-01	1.52752145e-01	3.77083319e-04	-1.30907423e+01	8.58348957e+01	-2.11022024e-21	8.58348957e+01	-8.58348957e+01
0.0210513       	2.00243857e+00	-1.18268378e+01	1.38292763e+01	3.00112924e-01	1.50420899e-01	1.49692026e-01	3.64436513e-04	-1.28280570e+01	8.55924358e+01	1.26999970e-21	8.55924358e+01	-8.55924358e+01
0.0210531       	2.00806287e+00	-1.18458629e+01	1.38539258e+01	3.00623809e-01	1.50649571e-01	1.49974238e-01	3.37666196e-04	-1.28498943e+01	8.58328416e+01	2.64918664e-21	8.58328416e+01	-8.58328416e+01
0.0210549       	2.00893207e+00	-1.21304264e+01	1.41393585e+01	3.07291351e-01	1.54004768e-01	1.53286584e-01	3.59092042e-04	-1.31348924e+01	8.58699944e+01	1.78926366e-22	8.58699944e+01	-8.58699944e+01
0.0210566       	2.00841501e+00	-1.20954545e+01	1.41038695e+01	3.06467134e-01	1.53600802e-01	1.52866332e-01	3.67235239e-04	-1.30996620e+01	8.58478932e+01	-7.76874877e-22	8.58478932e+01	-8.58478932e+01
0.0210584       	2.00320228e+00	-1.19117079e+01	1.39149102e+01	3.02107399e-01	1.51395973e-01	1.50711426e-01	3.42273651e-04	-1.29133090e+01	8.56250800e+01	-1.91704914e-21	8.56250800e+01	-8.56250800e+01
0.0210602       	2.00836928e+00	-1.19622065e+01	1.39705758e+01	3.03349257e-01	1.52010303e-01	1.51338954e-01	3.35674394e-04	-1.29663912e+01	8.58459385e+01	5.11576618e-21	8.58459385e+01	-8.58459385e+01
0.0210619       	2.01069594e+00	-1.21555510e+01	1.41662469e+01	3.07899774e-01	1.54317458e-01	1.53582317e-01	3.67570422e-04	-1.31608989e+01	8.59453896e+01	3.81034003e-21	8.59453896e+01	-8.59453896e+01
0.0210637       	2.01067827e+00	-1.20349128e+01	1.40455911e+01	3.05077233e-01	1.52921500e-01	1.52155733e-01	3.82883489e-04	-1.30402520e+01	8.59446342e+01	3.73266915e-21	8.59446342e+01	-8.59446342e+01
0.0210655       	2.00526844e+00	-1.18125436e+01	1.38178121e+01	2.99811616e-01	1.50269930e-01	1.49541685e-01	3.64122582e-04	-1.28151779e+01	8.57133959e+01	2.06995099e-21	8.57133959e+01	-8.57133959e+01
0.0210673       	2.01257900e+00	-1.20668385e+01	1.40794175e+01	3.05846368e-01	1.53271160e-01	1.52575208e-01	3.47975993e-04	-1.30731280e+01	8.60258793e+01	6.84205650e-21	8.60258793e+01	-8.60258793e+01
0.021069        	2.01035964e+00	-1.20714962e+01	1.40818559e+01	3.05929377e-01	1.53342427e-01	1.52586950e-01	3.77738514e-04	-1.30766761e+01	8.59310149e+01	1.56756726e-21	8.59310149e+01	-8.59310149e+01
