# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
2e-05           	DILUPBiCGStab	9.99999890e-01	1.89524530e-02	1	1.00000000e+00	2.00827590e-02	1	false	DILUPBiCGStab	9.99999990e-01	2.89959870e-03	1	true	DILUPBiCGStab	1.00000000e+00	4.78377710e-02	2	true	DILUPBiCGStab	9.06707490e-02	8.09186570e-03	1	true	GAMG	1.00000000e+00	9.59374690e-03	15	true
4e-05           	DILUPBiCGStab	1.74734930e-01	5.12119260e-04	1	1.98889020e-01	6.06248100e-04	1	false	DILUPBiCGStab	9.83757870e-01	2.76139020e-03	1	true	DILUPBiCGStab	1.93126760e-01	1.47068110e-02	5	true	DILUPBiCGStab	3.15030550e-02	3.07469960e-03	1	true	GAMG	1.62146640e-01	1.60139670e-03	17	true
6e-05           	DILUPBiCGStab	4.89254670e-02	1.62551830e-04	1	5.43127560e-02	1.69620770e-04	1	false	DILUPBiCGStab	9.78364960e-02	3.07596260e-04	1	true	DILUPBiCGStab	1.24030220e-01	1.07309290e-02	7	true	DILUPBiCGStab	1.59432890e-02	1.48276100e-03	14	true	GAMG	2.32164120e-01	2.25248130e-03	56	true
8e-05           	DILUPBiCGStab	6.32745340e-02	1.85193770e-04	1	9.89129110e-02	2.87963360e-04	1	false	DILUPBiCGStab	1.19170090e-01	3.37502640e-04	1	true	DILUPBiCGStab	1.95550260e-02	1.85635970e-03	2	true	DILUPBiCGStab	1.50129180e-02	1.10813490e-03	2	true	GAMG	3.86355870e-02	3.80379750e-04	34	true
0.0001          	DILUPBiCGStab	4.98441990e-02	1.52497980e-04	1	6.92651220e-02	2.08675270e-04	1	false	DILUPBiCGStab	1.12351060e-01	3.23541530e-04	1	true	DILUPBiCGStab	1.18642360e-02	9.73064500e-04	3	true	DILUPBiCGStab	9.72168670e-03	8.90205780e-04	2	true	GAMG	4.38898630e-01	4.06445770e-03	17	true
0.00012         	DILUPBiCGStab	4.24584140e-02	1.34210270e-04	1	5.50629630e-02	1.51131300e-04	1	false	DILUPBiCGStab	1.16634830e-01	3.49747710e-04	1	true	DILUPBiCGStab	8.70489920e-03	7.25385920e-04	3	true	DILUPBiCGStab	6.60535860e-03	2.80449020e-04	3	true	GAMG	3.19645060e-02	3.12134020e-04	46	true
0.00014         	DILUPBiCGStab	3.74175890e-02	1.14358160e-04	1	4.65327690e-02	1.37353510e-04	1	false	DILUPBiCGStab	9.75972940e-02	2.84681620e-04	1	true	DILUPBiCGStab	7.34916430e-03	5.80870080e-04	3	true	DILUPBiCGStab	4.71551670e-03	3.90142260e-04	1	true	GAMG	3.34696470e-02	3.29068020e-04	26	true
0.00016         	DILUPBiCGStab	2.82670270e-02	8.71519570e-05	1	3.09654700e-02	8.82176500e-05	1	false	DILUPBiCGStab	6.42808370e-02	1.97400140e-04	1	true	DILUPBiCGStab	7.09446490e-03	7.05420210e-04	3	true	DILUPBiCGStab	3.69891500e-03	2.88043830e-04	2	true	GAMG	3.95326080e-01	3.92898510e-03	26	true
0.00018         	DILUPBiCGStab	1.69532010e-02	5.43145370e-05	1	1.84331240e-02	5.42141380e-05	1	false	DILUPBiCGStab	5.27876600e-02	1.63692370e-04	1	true	DILUPBiCGStab	6.87928120e-03	5.54285950e-04	3	true	DILUPBiCGStab	2.90216950e-03	2.43945100e-04	3	true	GAMG	4.58824210e-02	4.51645210e-04	34	true
0.0002          	DILUPBiCGStab	1.70771700e-02	4.60537650e-05	1	1.95931910e-02	5.58329240e-05	1	false	DILUPBiCGStab	5.92180450e-02	1.62673590e-04	1	true	DILUPBiCGStab	6.35907030e-03	5.97717580e-04	4	true	DILUPBiCGStab	2.47510760e-03	1.70906000e-04	2	true	GAMG	6.78833540e-02	6.54123750e-04	19	true
