# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uy_initial      	Uy_final        	Uy_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1.06592e-07     	DILUPBiCGStab	9.99999970e-01	1.27249510e-07	15	1.00000000e+00	2.12035520e-07	15	false	DILUPBiCGStab	9.99999990e-01	4.60101590e-07	17	true	DILUPBiCGStab	1.00000000e+00	1.92632770e-07	9	true	DILUPBiCGStab	7.36622840e-02	1.85206870e-07	6	true	GAMG	1.00000000e+00	7.60773570e-07	1	true
1.56174e-07     	DILUPBiCGStab	9.24149130e-03	1.39427250e-08	1	8.41565440e-01	9.31336060e-07	1	false	DILUPBiCGStab	4.09327490e-02	2.53919570e-08	1	true	DILUPBiCGStab	8.97740380e-04	4.49343590e-07	1	true	DILUPBiCGStab	3.38417940e-04	2.07283280e-07	1	true	GAMG	4.07008230e-02	5.56043330e-05	2	true
2.15673e-07     	DILUPBiCGStab	2.41421200e-04	2.00805280e-07	1	7.98596270e-02	3.67149090e-07	1	false	DILUPBiCGStab	1.14968810e-03	8.21892670e-07	1	true	DILUPBiCGStab	8.27160350e-04	2.84001140e-07	1	true	DILUPBiCGStab	2.29396470e-04	1.91197640e-07	1	true	GAMG	7.99771440e-03	2.91149310e-05	2	true
2.87071e-07     	DILUPBiCGStab	2.25402830e-04	3.33937270e-07	1	1.65114350e-02	4.50383880e-07	1	false	DILUPBiCGStab	3.19186980e-04	4.39095950e-07	1	true	DILUPBiCGStab	4.19184220e-04	1.60449890e-07	1	true	DILUPBiCGStab	1.82039290e-04	1.48110160e-07	1	true	GAMG	1.57307470e-03	3.99577600e-06	2	true
3.72749e-07     	DILUPBiCGStab	1.83370420e-04	5.10649500e-07	1	1.37314780e-01	6.86260460e-08	2	false	DILUPBiCGStab	2.78983070e-04	9.40006310e-07	1	true	DILUPBiCGStab	2.41883900e-04	6.90686120e-08	1	true	DILUPBiCGStab	1.55685070e-04	1.16235850e-07	1	true	GAMG	3.13960680e-03	1.04706630e-05	2	true
4.75562e-07     	DILUPBiCGStab	1.87587320e-04	3.58468630e-07	1	1.02858020e-01	6.07856910e-07	1	false	DILUPBiCGStab	3.23398650e-04	7.46271150e-07	1	true	DILUPBiCGStab	1.38702510e-04	4.96948080e-08	1	true	DILUPBiCGStab	1.35716620e-04	1.18550230e-07	1	true	GAMG	4.99772530e-03	1.49838280e-05	2	true
5.98939e-07     	DILUPBiCGStab	1.87488950e-04	3.16229700e-07	1	5.10423130e-02	7.49609020e-07	1	false	DILUPBiCGStab	3.74316980e-04	8.23101580e-07	1	true	DILUPBiCGStab	8.46903880e-05	3.71312630e-08	1	true	DILUPBiCGStab	1.20896060e-04	1.18465570e-07	1	true	GAMG	1.39309960e-02	4.73335780e-05	2	true
7.4699e-07      	DILUPBiCGStab	1.94978200e-04	3.98928610e-07	1	5.70116700e-02	6.31199520e-08	2	false	DILUPBiCGStab	4.30667600e-04	2.47351310e-09	1	true	DILUPBiCGStab	6.90561840e-05	3.11497200e-08	1	true	DILUPBiCGStab	1.07966140e-04	1.08826790e-07	1	true	GAMG	6.27764560e-02	4.47365430e-04	2	true
9.2465e-07      	DILUPBiCGStab	2.07547820e-04	6.89872780e-07	1	6.66458770e-02	6.29392830e-08	2	false	DILUPBiCGStab	5.05696640e-04	5.07325190e-09	1	true	DILUPBiCGStab	8.91388160e-05	3.06276860e-08	1	true	DILUPBiCGStab	9.67268840e-05	9.88473300e-08	1	true	GAMG	2.18265030e-02	5.91543390e-05	3	true
1.13784e-06     	DILUPBiCGStab	2.35271700e-04	6.85056220e-07	1	7.56097940e-02	1.07606160e-07	2	false	DILUPBiCGStab	6.00964810e-04	9.49246380e-09	1	true	DILUPBiCGStab	1.39261760e-04	4.40115120e-08	1	true	DILUPBiCGStab	8.66141260e-05	8.82253450e-08	1	true	GAMG	1.43190650e-02	4.68911600e-05	3	true
